Category: All categories

Day,bitcoin: (Worldwide)
2017-08-01,13
2017-08-02,12
2017-08-03,7
2017-08-04,6
2017-08-05,8
2017-08-06,7
2017-08-07,9
2017-08-08,9
2017-08-09,8
2017-08-10,7
2017-08-11,8
2017-08-12,9
2017-08-13,11
2017-08-14,14
2017-08-15,14
2017-08-16,11
2017-08-17,11
2017-08-18,11
2017-08-19,10
2017-08-20,9
2017-08-21,10
2017-08-22,10
2017-08-23,10
2017-08-24,9
2017-08-25,9
2017-08-26,7
2017-08-27,7
2017-08-28,8
2017-08-29,10
2017-08-30,10
2017-08-31,11
2017-09-01,12
2017-09-02,11
2017-09-03,10
2017-09-04,13
2017-09-05,12
2017-09-06,11
2017-09-07,10
2017-09-08,10
2017-09-09,8
2017-09-10,8
2017-09-11,10
2017-09-12,10
2017-09-13,13
2017-09-14,17
2017-09-15,18
2017-09-16,12
2017-09-17,9
2017-09-18,11
2017-09-19,11
2017-09-20,9
2017-09-21,9
2017-09-22,8
2017-09-23,6
2017-09-24,6
2017-09-25,7
2017-09-26,7
2017-09-27,7
2017-09-28,7
2017-09-29,7
2017-09-30,6
2017-10-01,6
2017-10-02,7
2017-10-03,7
2017-10-04,7
2017-10-05,6
2017-10-06,6
2017-10-07,6
2017-10-08,6
2017-10-09,8
2017-10-10,9
2017-10-11,8
2017-10-12,15
2017-10-13,18
2017-10-14,12
2017-10-15,11
2017-10-16,12
2017-10-17,11
2017-10-18,11
2017-10-19,11
2017-10-20,13
2017-10-21,15
2017-10-22,11
2017-10-23,14
2017-10-24,15
2017-10-25,13
2017-10-26,13
2017-10-27,11
2017-10-28,9
2017-10-29,10
2017-10-30,12
2017-10-31,14
2017-11-01,17
2017-11-02,24
2017-11-03,22
2017-11-04,17
2017-11-05,16
2017-11-06,17
2017-11-07,17
2017-11-08,18
2017-11-09,16
2017-11-10,20
2017-11-11,19
2017-11-12,25
2017-11-13,21
2017-11-14,17
2017-11-15,17
2017-11-16,17
2017-11-17,20
2017-11-18,15
2017-11-19,15
2017-11-20,19
2017-11-21,20
2017-11-22,17
2017-11-23,16
2017-11-24,16
2017-11-25,17
2017-11-26,24
2017-11-27,33
2017-11-28,39
2017-11-29,61
2017-11-30,51
2017-12-01,38
2017-12-02,29
2017-12-03,29
2017-12-04,34
2017-12-05,34
2017-12-06,48
2017-12-07,98
2017-12-08,87
2017-12-09,57
2017-12-10,55
2017-12-11,62
2017-12-12,61
2017-12-13,54
2017-12-14,46
2017-12-15,42
2017-12-16,43
2017-12-17,48
2017-12-18,47
2017-12-19,51
2017-12-20,69
2017-12-21,51
2017-12-22,100
2017-12-23,61
2017-12-24,46
2017-12-25,41
2017-12-26,40
2017-12-27,39
2017-12-28,38
2017-12-29,33
2017-12-30,34
2017-12-31,27
2018-01-01,26
2018-01-02,32
2018-01-03,32
2018-01-04,30
2018-01-05,29
2018-01-06,27
2018-01-07,26
2018-01-08,30
2018-01-09,29
2018-01-10,28
2018-01-11,34
2018-01-12,27
2018-01-13,24
2018-01-14,21
2018-01-15,22
2018-01-16,43
2018-01-17,59
2018-01-18,41
2018-01-19,29
2018-01-20,25
2018-01-21,23
2018-01-22,27
2018-01-23,26
2018-01-24,24
2018-01-25,23
2018-01-26,23
2018-01-27,19
2018-01-28,18
2018-01-29,18
2018-01-30,21
2018-01-31,22
2018-02-01,28
2018-02-02,38
2018-02-03,25
2018-02-04,21
2018-02-05,38
2018-02-06,48
2018-02-07,31
2018-02-08,25
2018-02-09,22
2018-02-10,18
2018-02-11,17
2018-02-12,18
2018-02-13,16
2018-02-14,17
2018-02-15,18
2018-02-16,16
2018-02-17,15
2018-02-18,16
2018-02-19,15
2018-02-20,17
2018-02-21,17
2018-02-22,15
2018-02-23,13
2018-02-24,12
2018-02-25,11
2018-02-26,12
2018-02-27,13
2018-02-28,12
2018-03-01,11
2018-03-02,12
2018-03-03,11
2018-03-04,9
2018-03-05,11
2018-03-06,11
2018-03-07,12
2018-03-08,12
2018-03-09,14
2018-03-10,10
2018-03-11,10
2018-03-12,11
2018-03-13,11
2018-03-14,12
2018-03-15,14
2018-03-16,12
2018-03-17,10
2018-03-18,13
2018-03-19,12
2018-03-20,11
2018-03-21,11
2018-03-22,10
2018-03-23,10
2018-03-24,8
2018-03-25,8
2018-03-26,12
2018-03-27,10
2018-03-28,10
2018-03-29,12
2018-03-30,13
2018-03-31,9
