Category: All categories

Day,blockchain: (Worldwide)
2015-01-01,46
2015-01-02,56
2015-01-03,63
2015-01-04,59
2015-01-05,56
2015-01-06,70
2015-01-07,51
2015-01-08,45
2015-01-09,58
2015-01-10,41
2015-01-11,42
2015-01-12,41
2015-01-13,58
2015-01-14,72
2015-01-15,41
2015-01-16,51
2015-01-17,43
2015-01-18,44
2015-01-19,61
2015-01-20,65
2015-01-21,71
2015-01-22,64
2015-01-23,49
2015-01-24,69
2015-01-25,51
2015-01-26,57
2015-01-27,47
2015-01-28,48
2015-01-29,35
2015-01-30,40
2015-01-31,57
2015-02-01,29
2015-02-02,52
2015-02-03,56
2015-02-04,42
2015-02-05,41
2015-02-06,45
2015-02-07,65
2015-02-08,43
2015-02-09,50
2015-02-10,44
2015-02-11,55
2015-02-12,63
2015-02-13,51
2015-02-14,49
2015-02-15,40
2015-02-16,38
2015-02-17,55
2015-02-18,49
2015-02-19,60
2015-02-20,55
2015-02-21,51
2015-02-22,57
2015-02-23,42
2015-02-24,52
2015-02-25,46
2015-02-26,43
2015-02-27,43
2015-02-28,40
2015-03-01,39
2015-03-02,31
2015-03-03,54
2015-03-04,35
2015-03-05,52
2015-03-06,59
2015-03-07,48
2015-03-08,36
2015-03-09,55
2015-03-10,55
2015-03-11,40
2015-03-12,46
2015-03-13,57
2015-03-14,34
2015-03-15,45
2015-03-16,40
2015-03-17,56
2015-03-18,43
2015-03-19,46
2015-03-20,43
2015-03-21,33
2015-03-22,46
2015-03-23,67
2015-03-24,52
2015-03-25,58
2015-03-26,58
2015-03-27,46
2015-03-28,50
2015-03-29,58
2015-03-30,57
2015-03-31,42
2015-04-01,50
2015-04-02,64
2015-04-03,51
2015-04-04,36
2015-04-05,43
2015-04-06,45
2015-04-07,46
2015-04-08,49
2015-04-09,41
2015-04-10,48
2015-04-11,47
2015-04-12,44
2015-04-13,49
2015-04-14,54
2015-04-15,40
2015-04-16,54
2015-04-17,48
2015-04-18,52
2015-04-19,36
2015-04-20,43
2015-04-21,54
2015-04-22,57
2015-04-23,39
2015-04-24,62
2015-04-25,39
2015-04-26,47
2015-04-27,63
2015-04-28,40
2015-04-29,51
2015-04-30,54
2015-05-01,46
2015-05-02,53
2015-05-03,39
2015-05-04,54
2015-05-05,60
2015-05-06,65
2015-05-07,66
2015-05-08,40
2015-05-09,29
2015-05-10,57
2015-05-11,72
2015-05-12,100
2015-05-13,77
2015-05-14,72
2015-05-15,49
2015-05-16,41
2015-05-17,46
2015-05-18,67
2015-05-19,52
2015-05-20,57
2015-05-21,68
2015-05-22,60
2015-05-23,55
2015-05-24,46
2015-05-25,65
2015-05-26,79
2015-05-27,58
2015-05-28,56
2015-05-29,61
2015-05-30,59
2015-05-31,55
2015-06-01,64
2015-06-02,61
2015-06-03,64
2015-06-04,47
2015-06-05,49
2015-06-06,87
2015-06-07,72
2015-06-08,54
2015-06-09,65
2015-06-10,67
2015-06-11,76
2015-06-12,46
2015-06-13,51
2015-06-14,57
2015-06-15,59
2015-06-16,58
2015-06-17,67
2015-06-18,50
2015-06-19,60
2015-06-20,56
2015-06-21,65
2015-06-22,54
2015-06-23,54
2015-06-24,72
2015-06-25,71
2015-06-26,77
2015-06-27,41
2015-06-28,32
2015-06-29,65
2015-06-30,60
2015-07-01,77
2015-07-02,64
2015-07-03,56
2015-07-04,50
2015-07-05,53
2015-07-06,64
2015-07-07,79
2015-07-08,82
2015-07-09,77
2015-07-10,79
2015-07-11,64
2015-07-12,79
2015-07-13,89
2015-07-14,65
2015-07-15,86
2015-07-16,80
2015-07-17,58
2015-07-18,67
2015-07-19,68
2015-07-20,69
2015-07-21,65
2015-07-22,63
2015-07-23,79
2015-07-24,71
2015-07-25,61
2015-07-26,58
2015-07-27,71
2015-07-28,83
2015-07-29,60
2015-07-30,74
2015-07-31,64
2015-08-01,61
2015-08-02,59
2015-08-03,89
2015-08-04,88
2015-08-05,93
2015-08-06,73
2015-08-07,54
2015-08-08,55
2015-08-09,55
2015-08-10,68
2015-08-11,89
2015-08-12,94
2015-08-13,63
2015-08-14,53
2015-08-15,56
2015-08-16,62
2015-08-17,43
2015-08-18,69
2015-08-19,83
2015-08-20,78
2015-08-21,63
2015-08-22,60
2015-08-23,59
2015-08-24,55
2015-08-25,62
2015-08-26,83
2015-08-27,72
2015-08-28,77
2015-08-29,59
2015-08-30,78
2015-08-31,89
