DATE,COUNT
1/1/2015,49
1/2/2015,69
1/3/2015,63
1/4/2015,61
1/5/2015,58
1/6/2015,60
1/7/2015,60
1/8/2015,61
1/9/2015,53
1/10/2015,44
1/11/2015,42
1/12/2015,46
1/13/2015,53
1/14/2015,64
1/15/2015,61
1/16/2015,60
1/17/2015,56
1/18/2015,56
1/19/2015,59
1/20/2015,55
1/21/2015,91
1/22/2015,74
1/23/2015,67
1/24/2015,54
1/25/2015,50
1/26/2015,64
1/27/2015,59
1/28/2015,60
1/29/2015,61
1/30/2015,57
1/31/2015,48
2/1/2015,52
2/2/2015,54
2/3/2015,54
2/4/2015,54
2/5/2015,48
2/6/2015,55
2/7/2015,46
2/8/2015,48
2/9/2015,48
2/10/2015,49
2/11/2015,51
2/12/2015,49
2/13/2015,55
2/14/2015,55
2/15/2015,49
2/16/2015,53
2/17/2015,57
2/18/2015,60
2/19/2015,56
2/20/2015,49
2/21/2015,55
2/22/2015,52
2/23/2015,51
2/24/2015,48
2/25/2015,46
2/26/2015,48
2/27/2015,50
2/28/2015,42
3/1/2015,44
3/2/2015,52
3/3/2015,52
3/4/2015,45
3/5/2015,48
3/6/2015,44
3/7/2015,43
3/8/2015,47
3/9/2015,51
3/10/2015,54
3/11/2015,62
3/12/2015,52
3/13/2015,55
3/14/2015,59
3/15/2015,75
3/16/2015,88
3/17/2015,75
3/18/2015,69
3/19/2015,65
3/20/2015,59
3/21/2015,54
3/22/2015,47
3/23/2015,53
3/24/2015,57
3/25/2015,65
3/26/2015,48
3/27/2015,49
3/28/2015,45
3/29/2015,39
3/30/2015,53
3/31/2015,43
4/1/2015,50
4/2/2015,45
4/3/2015,50
4/4/2015,45
4/5/2015,50
4/6/2015,50
4/7/2015,52
4/8/2015,52
4/9/2015,51
4/10/2015,47
4/11/2015,58
4/12/2015,42
4/13/2015,49
4/14/2015,41
4/15/2015,43
4/16/2015,45
4/17/2015,44
4/18/2015,41
4/19/2015,37
4/20/2015,46
4/21/2015,46
4/22/2015,41
4/23/2015,43
4/24/2015,43
4/25/2015,45
4/26/2015,43
4/27/2015,43
4/28/2015,47
4/29/2015,43
4/30/2015,41
5/1/2015,37
5/2/2015,44
5/3/2015,42
