Category: All categories

Day,btc: (Worldwide)
2019-02-01,1
2019-02-02,1
2019-02-03,1
2019-02-04,1
2019-02-05,1
2019-02-06,1
2019-02-07,1
2019-02-08,1
2019-02-09,1
2019-02-10,1
2019-02-11,1
2019-02-12,1
2019-02-13,1
2019-02-14,1
2019-02-15,1
2019-02-16,1
2019-02-17,1
2019-02-18,1
2019-02-19,1
2019-02-20,1
2019-02-21,1
2019-02-22,1
2019-02-23,1
2019-02-24,1
2019-02-25,1
2019-02-26,1
2019-02-27,1
2019-02-28,1
2019-03-01,1
2019-03-02,1
2019-03-03,1
2019-03-04,1
2019-03-05,1
2019-03-06,1
2019-03-07,1
2019-03-08,1
2019-03-09,1
2019-03-10,1
2019-03-11,1
2019-03-12,1
2019-03-13,1
2019-03-14,1
2019-03-15,1
2019-03-16,1
2019-03-17,1
2019-03-18,1
2019-03-19,1
2019-03-20,1
2019-03-21,1
2019-03-22,1
2019-03-23,1
2019-03-24,1
2019-03-25,1
2019-03-26,1
2019-03-27,1
2019-03-28,1
2019-03-29,1
2019-03-30,1
2019-03-31,1
2019-04-01,1
2019-04-02,2
2019-04-03,2
2019-04-04,2
2019-04-05,2
2019-04-06,1
2019-04-07,1
2019-04-08,2
2019-04-09,1
2019-04-10,1
2019-04-11,2
2019-04-12,1
2019-04-13,1
2019-04-14,1
2019-04-15,1
2019-04-16,1
2019-04-17,1
2019-04-18,1
2019-04-19,1
2019-04-20,1
2019-04-21,1
2019-04-22,1
2019-04-23,2
2019-04-24,2
2019-04-25,1
2019-04-26,2
2019-04-27,3
2019-04-28,1
2019-04-29,1
2019-04-30,1
2019-05-01,1
2019-05-02,1
2019-05-03,2
2019-05-04,1
2019-05-05,1
2019-05-06,1
2019-05-07,2
2019-05-08,2
2019-05-09,2
2019-05-10,2
2019-05-11,3
2019-05-12,3
2019-05-13,3
2019-05-14,3
2019-05-15,3
2019-05-16,3
2019-05-17,3
2019-05-18,2
2019-05-19,2
2019-05-20,2
2019-05-21,2
2019-05-22,2
2019-05-23,2
2019-05-24,2
2019-05-25,2
2019-05-26,2
2019-05-27,3
2019-05-28,2
2019-05-29,2
2019-05-30,2
2019-05-31,2
2019-06-01,2
2019-06-02,2
2019-06-03,2
2019-06-04,2
2019-06-05,2
2019-06-06,2
2019-06-07,2
2019-06-08,2
2019-06-09,2
2019-06-10,2
2019-06-11,2
2019-06-12,2
2019-06-13,2
2019-06-14,2
2019-06-15,2
2019-06-16,2
2019-06-17,2
2019-06-18,2
2019-06-19,2
2019-06-20,2
2019-06-21,3
2019-06-22,4
2019-06-23,3
2019-06-24,3
2019-06-25,3
2019-06-26,5
2019-06-27,4
2019-06-28,4
2019-06-29,3
2019-06-30,3
2019-07-01,3
2019-07-02,3
2019-07-03,3
2019-07-04,3
2019-07-05,2
2019-07-06,2
2019-07-07,2
2019-07-08,2
2019-07-09,3
2019-07-10,3
2019-07-11,3
2019-07-12,3
2019-07-13,2
2019-07-14,2
2019-07-15,3
2019-07-16,3
2019-07-17,3
2019-07-18,3
2019-07-19,2
2019-07-20,2
2019-07-21,2
2019-07-22,2
2019-07-23,2
2019-07-24,2
2019-07-25,2
2019-07-26,2
2019-07-27,2
2019-07-28,2
2019-07-29,2
2019-07-30,2
2019-07-31,2
2019-08-01,2
2019-08-02,2
2019-08-03,2
2019-08-04,2
2019-08-05,3
2019-08-06,2
2019-08-07,2
2019-08-08,2
2019-08-09,2
2019-08-10,2
2019-08-11,2
2019-08-12,2
2019-08-13,2
2019-08-14,2
2019-08-15,2
2019-08-16,2
2019-08-17,1
2019-08-18,2
2019-08-19,2
2019-08-20,2
2019-08-21,2
2019-08-22,2
2019-08-23,2
2019-08-24,2
2019-08-25,1
2019-08-26,2
2019-08-27,2
2019-08-28,2
2019-08-29,2
2019-08-30,59
2019-08-31,100
2019-09-01,93
2019-09-02,77
2019-09-03,72
2019-09-04,83
2019-09-05,84
2019-09-06,67
2019-09-07,42
2019-09-08,40
2019-09-09,38
2019-09-10,37
2019-09-11,39
2019-09-12,39
2019-09-13,39
2019-09-14,41
2019-09-15,40
2019-09-16,36
2019-09-17,37
2019-09-18,35
2019-09-19,34
2019-09-20,32
2019-09-21,35
2019-09-22,33
2019-09-23,29
2019-09-24,25
2019-09-25,23
2019-09-26,21
2019-09-27,4
2019-09-28,2
2019-09-29,1
2019-09-30,2
