Category: All categories

Day,btc: (Worldwide)
2015-01-01,49
2015-01-02,69
2015-01-03,63
2015-01-04,61
2015-01-05,58
2015-01-06,60
2015-01-07,60
2015-01-08,61
2015-01-09,53
2015-01-10,44
2015-01-11,42
2015-01-12,46
2015-01-13,53
2015-01-14,64
2015-01-15,61
2015-01-16,60
2015-01-17,56
2015-01-18,56
2015-01-19,59
2015-01-20,55
2015-01-21,91
2015-01-22,74
2015-01-23,67
2015-01-24,54
2015-01-25,50
2015-01-26,64
2015-01-27,59
2015-01-28,60
2015-01-29,61
2015-01-30,57
2015-01-31,48
2015-02-01,52
2015-02-02,54
2015-02-03,54
2015-02-04,54
2015-02-05,48
2015-02-06,55
2015-02-07,46
2015-02-08,48
2015-02-09,48
2015-02-10,49
2015-02-11,51
2015-02-12,49
2015-02-13,55
2015-02-14,55
2015-02-15,49
2015-02-16,53
2015-02-17,57
2015-02-18,60
2015-02-19,56
2015-02-20,49
2015-02-21,55
2015-02-22,52
2015-02-23,51
2015-02-24,48
2015-02-25,46
2015-02-26,48
2015-02-27,50
2015-02-28,42
2015-03-01,44
2015-03-02,52
2015-03-03,52
2015-03-04,45
2015-03-05,48
2015-03-06,44
2015-03-07,43
2015-03-08,47
2015-03-09,51
2015-03-10,54
2015-03-11,62
2015-03-12,52
2015-03-13,55
2015-03-14,59
2015-03-15,75
2015-03-16,88
2015-03-17,75
2015-03-18,69
2015-03-19,65
2015-03-20,59
2015-03-21,54
2015-03-22,47
2015-03-23,53
2015-03-24,57
2015-03-25,65
2015-03-26,48
2015-03-27,49
2015-03-28,45
2015-03-29,39
2015-03-30,53
2015-03-31,43
2015-04-01,50
2015-04-02,45
2015-04-03,50
2015-04-04,45
2015-04-05,50
2015-04-06,50
2015-04-07,52
2015-04-08,52
2015-04-09,51
2015-04-10,47
2015-04-11,58
2015-04-12,42
2015-04-13,49
2015-04-14,41
2015-04-15,43
2015-04-16,45
2015-04-17,44
2015-04-18,41
2015-04-19,37
2015-04-20,46
2015-04-21,46
2015-04-22,41
2015-04-23,43
2015-04-24,43
2015-04-25,45
2015-04-26,43
2015-04-27,43
2015-04-28,47
2015-04-29,43
2015-04-30,41
2015-05-01,37
2015-05-02,44
2015-05-03,42
2015-05-04,46
2015-05-05,43
2015-05-06,42
2015-05-07,43
2015-05-08,48
2015-05-09,40
2015-05-10,42
2015-05-11,51
2015-05-12,48
2015-05-13,48
2015-05-14,46
2015-05-15,46
2015-05-16,46
2015-05-17,49
2015-05-18,52
2015-05-19,46
2015-05-20,45
2015-05-21,43
2015-05-22,43
2015-05-23,40
2015-05-24,38
2015-05-25,48
2015-05-26,50
2015-05-27,50
2015-05-28,46
2015-05-29,49
2015-05-30,44
2015-05-31,42
2015-06-01,44
2015-06-02,49
2015-06-03,48
2015-06-04,45
2015-06-05,43
2015-06-06,42
2015-06-07,40
2015-06-08,41
2015-06-09,48
2015-06-10,46
2015-06-11,51
2015-06-12,50
2015-06-13,44
2015-06-14,45
2015-06-15,45
2015-06-16,52
2015-06-17,53
2015-06-18,49
2015-06-19,57
2015-06-20,57
2015-06-21,46
2015-06-22,52
2015-06-23,53
2015-06-24,47
2015-06-25,47
2015-06-26,52
2015-06-27,43
2015-06-28,53
2015-06-29,51
2015-06-30,61
2015-07-01,54
2015-07-02,52
2015-07-03,61
2015-07-04,58
2015-07-05,50
2015-07-06,65
2015-07-07,57
2015-07-08,90
2015-07-09,93
2015-07-10,94
2015-07-11,100
2015-07-12,88
2015-07-13,75
2015-07-14,75
2015-07-15,74
2015-07-16,77
2015-07-17,77
2015-07-18,65
2015-07-19,70
2015-07-20,66
2015-07-21,62
2015-07-22,61
2015-07-23,59
2015-07-24,68
2015-07-25,63
2015-07-26,57
2015-07-27,70
2015-07-28,98
2015-07-29,92
2015-07-30,85
2015-07-31,84
2015-08-01,80
2015-08-02,68
2015-08-03,77
2015-08-04,83
2015-08-05,81
2015-08-06,81
2015-08-07,80
2015-08-08,89
2015-08-09,78
2015-08-10,86
2015-08-11,100
2015-08-12,95
2015-08-13,84
2015-08-14,67
2015-08-15,60
2015-08-16,58
2015-08-17,63
2015-08-18,60
2015-08-19,66
2015-08-20,61
2015-08-21,60
2015-08-22,56
2015-08-23,50
2015-08-24,64
2015-08-25,61
2015-08-26,57
2015-08-27,50
2015-08-28,51
2015-08-29,46
2015-08-30,47
2015-08-31,51
