DATE,COUNT
1/1/2015,50
1/2/2015,48
1/3/2015,62
1/4/2015,70
1/5/2015,73
1/6/2015,68
1/7/2015,75
1/8/2015,78
1/9/2015,63
1/10/2015,48
1/11/2015,61
1/12/2015,92
1/13/2015,83
1/14/2015,82
1/15/2015,90
1/16/2015,64
1/17/2015,52
1/18/2015,67
1/19/2015,73
1/20/2015,85
1/21/2015,90
1/22/2015,85
1/23/2015,60
1/24/2015,50
1/25/2015,61
1/26/2015,65
1/27/2015,70
1/28/2015,96
1/29/2015,77
1/30/2015,70
1/31/2015,57
2/1/2015,49
2/2/2015,73
2/3/2015,81
2/4/2015,90
2/5/2015,77
2/6/2015,61
2/7/2015,68
2/8/2015,56
2/9/2015,65
2/10/2015,86
2/11/2015,80
2/12/2015,89
2/13/2015,66
2/14/2015,60
2/15/2015,57
2/16/2015,85
2/17/2015,74
2/18/2015,61
2/19/2015,61
2/20/2015,76
2/21/2015,51
2/22/2015,37
2/23/2015,77
2/24/2015,68
2/25/2015,72
2/26/2015,92
2/27/2015,87
2/28/2015,77
3/1/2015,69
3/2/2015,96
3/3/2015,91
3/4/2015,82
3/5/2015,88
3/6/2015,84
3/7/2015,44
3/8/2015,60
3/9/2015,83
3/10/2015,81
3/11/2015,86
3/12/2015,84
3/13/2015,75
3/14/2015,64
3/15/2015,56
3/16/2015,74
3/17/2015,78
3/18/2015,84
3/19/2015,75
3/20/2015,62
3/21/2015,34
3/22/2015,47
3/23/2015,79
3/24/2015,70
3/25/2015,78
3/26/2015,73
3/27/2015,78
3/28/2015,55
3/29/2015,55
3/30/2015,78
3/31/2015,72
4/1/2015,78
4/2/2015,77
4/3/2015,77
4/4/2015,53
4/5/2015,53
4/6/2015,67
4/7/2015,73
4/8/2015,67
4/9/2015,66
4/10/2015,60
4/11/2015,52
4/12/2015,42
4/13/2015,65
4/14/2015,75
4/15/2015,83
4/16/2015,78
4/17/2015,74
4/18/2015,50
4/19/2015,63
4/20/2015,79
4/21/2015,74
4/22/2015,75
4/23/2015,80
4/24/2015,69
4/25/2015,57
4/26/2015,59
4/27/2015,89
4/28/2015,83
4/29/2015,87
4/30/2015,73
5/1/2015,50
5/2/2015,46
5/3/2015,54
5/4/2015,65
5/5/2015,74
5/6/2015,65
5/7/2015,74
5/8/2015,68
5/9/2015,53
5/10/2015,53
5/11/2015,67
5/12/2015,84
5/13/2015,89
5/14/2015,73
5/15/2015,79
5/16/2015,47
5/17/2015,60
5/18/2015,83
5/19/2015,78
5/20/2015,73
5/21/2015,88
5/22/2015,65
5/23/2015,42
5/24/2015,52
5/25/2015,65
5/26/2015,63
5/27/2015,72
5/28/2015,92
5/29/2015,61
5/30/2015,61
5/31/2015,62
6/1/2015,68
6/2/2015,76
6/3/2015,82
6/4/2015,91
6/5/2015,67
6/6/2015,40
6/7/2015,32
6/8/2015,67
6/9/2015,77
6/10/2015,87
6/11/2015,85
6/12/2015,67
6/13/2015,52
6/14/2015,48
6/15/2015,69
6/16/2015,89
6/17/2015,76
6/18/2015,66
6/19/2015,81
6/20/2015,55
6/21/2015,54
6/22/2015,84
6/23/2015,87
6/24/2015,92
6/25/2015,73
6/26/2015,84
6/27/2015,68
6/28/2015,75
6/29/2015,80
6/30/2015,76
7/1/2015,71
7/2/2015,77
7/3/2015,63
7/4/2015,52
7/5/2015,47
7/6/2015,83
7/7/2015,79
7/8/2015,80
7/9/2015,69
7/10/2015,78
7/11/2015,61
7/12/2015,66
7/13/2015,100
7/14/2015,94
7/15/2015,84
7/16/2015,73
7/17/2015,84
7/18/2015,45
7/19/2015,53
7/20/2015,58
7/21/2015,66
7/22/2015,62
7/23/2015,64
7/24/2015,71
7/25/2015,48
7/26/2015,53
7/27/2015,73
7/28/2015,66
7/29/2015,75
7/30/2015,74
7/31/2015,63
8/1/2015,55.16792562
8/2/2015,59.76525276
8/3/2015,64.3625799
8/4/2015,81.60255665
8/5/2015,70.10923881
8/6/2015,58.61592098
8/7/2015,78.1545613
8/8/2015,43.67460779
8/9/2015,35.6292853
8/10/2015,73.55723417
8/11/2015,79.30389309
8/12/2015,78.1545613
8/13/2015,78.1545613
8/14/2015,74.70656595
8/15/2015,44.82393957
8/16/2015,45.97327135
8/17/2015,77.00522952
8/18/2015,63.21324811
8/19/2015,74.70656595
8/20/2015,74.70656595
8/21/2015,73.55723417
8/22/2015,45.97327135
8/23/2015,56.31725741
8/24/2015,64.3625799
8/25/2015,66.66124346
8/26/2015,74.70656595
8/27/2015,70.10923881
8/28/2015,68.95990703
8/29/2015,36.77861708
8/30/2015,55.16792562
8/31/2015,54.01859384
9/1/2015,67.81057525
9/2/2015,68.95990703
9/3/2015,74.70656595
9/4/2015,66.66124346
9/5/2015,58.61592098
9/6/2015,62.06391633
9/7/2015,49.42126671
9/8/2015,73.55723417
9/9/2015,70.10923881
9/10/2015,75.85589773
9/11/2015,70.10923881
9/12/2015,56.31725741
9/13/2015,54.01859384
9/14/2015,71.2585706
9/15/2015,71.2585706
9/16/2015,77.00522952
9/17/2015,80.45322487
9/18/2015,67.81057525
9/19/2015,63.21324811
9/20/2015,47.12260314
9/21/2015,59.76525276
9/22/2015,65.51191168
9/23/2015,72.40790238
9/24/2015,67.81057525
9/25/2015,72.40790238
9/26/2015,48.27193492
9/27/2015,60.91458454
9/28/2015,56.31725741
9/29/2015,54.01859384
9/30/2015,72.40790238
10/1/2015,60.91458454
10/2/2015,54.01859384
10/3/2015,28.7332946
10/4/2015,55.16792562
10/5/2015,58.61592098
10/6/2015,79.30389309
10/7/2015,59.76525276
10/8/2015,71.2585706
10/9/2015,70.10923881
10/10/2015,54.01859384
10/11/2015,28.7332946
10/12/2015,63.21324811
10/13/2015,75.85589773
10/14/2015,67.81057525
10/15/2015,77.00522952
10/16/2015,55.16792562
10/17/2015,47.12260314
10/18/2015,57.46658919
10/19/2015,66.66124346
10/20/2015,78.1545613
10/21/2015,73.55723417
10/22/2015,83.90122022
10/23/2015,72.40790238
10/24/2015,49.42126671
10/25/2015,56.31725741
10/26/2015,82.75188844
10/27/2015,75.85589773
10/28/2015,90.79721092
10/29/2015,82.75188844
10/30/2015,79.30389309
10/31/2015,47.12260314
11/1/2015,44.82393957
11/2/2015,71.2585706
11/3/2015,89.64787914
11/4/2015,86.19988379
11/5/2015,83.90122022
11/6/2015,77.00522952
11/7/2015,89.64787914
11/8/2015,98.84253341
11/9/2015,102.2905288
11/10/2015,77.00522952
11/11/2015,90.79721092
11/12/2015,102.2905288
11/13/2015,73.55723417
11/14/2015,66.66124346
11/15/2015,81.60255665
11/16/2015,74.70656595
11/17/2015,79.30389309
11/18/2015,94.24520628
11/19/2015,103.4398605
11/20/2015,77.00522952
11/21/2015,64.3625799
11/22/2015,73.55723417
11/23/2015,94.24520628
11/24/2015,96.54386984
11/25/2015,80.45322487
11/26/2015,78.1545613
11/27/2015,63.21324811
11/28/2015,83.90122022
11/29/2015,60.91458454
11/30/2015,88.49854736
12/1/2015,91.94654271
12/2/2015,112.6345148
12/3/2015,98.84253341
12/4/2015,77.00522952
12/5/2015,70.10923881
12/6/2015,71.2585706
12/7/2015,98.84253341
12/8/2015,95.39453806
12/9/2015,106.8878559
12/10/2015,110.3358512
12/11/2015,114.9331784
12/12/2015,62.06391633
12/13/2015,72.40790238
12/14/2015,79.30389309
12/15/2015,111.485183
12/16/2015,83.90122022
12/17/2015,70.10923881
12/18/2015,86.19988379
12/19/2015,65.51191168
12/20/2015,54.01859384
12/21/2015,70.10923881
12/22/2015,70.10923881
12/23/2015,72.40790238
12/24/2015,70.10923881
12/25/2015,57.46658919
12/26/2015,51.71993027
12/27/2015,56.31725741
12/28/2015,83.90122022
12/29/2015,77.00522952
12/30/2015,64.3625799
12/31/2015,52.86926206
1/1/2016,39.07728065
1/2/2016,60.91458454
1/3/2016,56.31725741
1/4/2016,71.2585706
1/5/2016,51.71993027
1/6/2016,82.75188844
1/7/2016,80.45322487
1/8/2016,79.30389309
1/9/2016,59.76525276
1/10/2016,56.31725741
1/11/2016,77.00522952
1/12/2016,81.60255665
1/13/2016,79.30389309
1/14/2016,77.00522952
1/15/2016,110.3358512
1/16/2016,104.5891923
1/17/2016,83.90122022
1/18/2016,113.7838466
1/19/2016,102.2905288
1/20/2016,88.49854736
1/21/2016,104.5891923
1/22/2016,73.55723417
1/23/2016,58.61592098
1/24/2016,51.71993027
1/25/2016,78.1545613
1/26/2016,80.45322487
1/27/2016,94.24520628
1/28/2016,86.19988379
1/29/2016,72.40790238
1/30/2016,70.10923881
1/31/2016,51.71993027
2/1/2016,85.050552
2/2/2016,80.45322487
2/3/2016,78.1545613
2/4/2016,89.64787914
2/5/2016,88.49854736
2/6/2016,51.71993027
2/7/2016,54.01859384
2/8/2016,72.40790238
2/9/2016,85.050552
