Category: All categories

Day,crypto: (Worldwide)
2015-01-01,50
2015-01-02,48
2015-01-03,62
2015-01-04,70
2015-01-05,73
2015-01-06,68
2015-01-07,75
2015-01-08,78
2015-01-09,63
2015-01-10,48
2015-01-11,61
2015-01-12,92
2015-01-13,83
2015-01-14,82
2015-01-15,90
2015-01-16,64
2015-01-17,52
2015-01-18,67
2015-01-19,73
2015-01-20,85
2015-01-21,90
2015-01-22,85
2015-01-23,60
2015-01-24,50
2015-01-25,61
2015-01-26,65
2015-01-27,70
2015-01-28,96
2015-01-29,77
2015-01-30,70
2015-01-31,57
2015-02-01,49
2015-02-02,73
2015-02-03,81
2015-02-04,90
2015-02-05,77
2015-02-06,61
2015-02-07,68
2015-02-08,56
2015-02-09,65
2015-02-10,86
2015-02-11,80
2015-02-12,89
2015-02-13,66
2015-02-14,60
2015-02-15,57
2015-02-16,85
2015-02-17,74
2015-02-18,61
2015-02-19,61
2015-02-20,76
2015-02-21,51
2015-02-22,37
2015-02-23,77
2015-02-24,68
2015-02-25,72
2015-02-26,92
2015-02-27,87
2015-02-28,77
2015-03-01,69
2015-03-02,96
2015-03-03,91
2015-03-04,82
2015-03-05,88
2015-03-06,84
2015-03-07,44
2015-03-08,60
2015-03-09,83
2015-03-10,81
2015-03-11,86
2015-03-12,84
2015-03-13,75
2015-03-14,64
2015-03-15,56
2015-03-16,74
2015-03-17,78
2015-03-18,84
2015-03-19,75
2015-03-20,62
2015-03-21,34
2015-03-22,47
2015-03-23,79
2015-03-24,70
2015-03-25,78
2015-03-26,73
2015-03-27,78
2015-03-28,55
2015-03-29,55
2015-03-30,78
2015-03-31,72
2015-04-01,78
2015-04-02,77
2015-04-03,77
2015-04-04,53
2015-04-05,53
2015-04-06,67
2015-04-07,73
2015-04-08,67
2015-04-09,66
2015-04-10,60
2015-04-11,52
2015-04-12,42
2015-04-13,65
2015-04-14,75
2015-04-15,83
2015-04-16,78
2015-04-17,74
2015-04-18,50
2015-04-19,63
2015-04-20,79
2015-04-21,74
2015-04-22,75
2015-04-23,80
2015-04-24,69
2015-04-25,57
2015-04-26,59
2015-04-27,89
2015-04-28,83
2015-04-29,87
2015-04-30,73
2015-05-01,50
2015-05-02,46
2015-05-03,54
2015-05-04,65
2015-05-05,74
2015-05-06,65
2015-05-07,74
2015-05-08,68
2015-05-09,53
2015-05-10,53
2015-05-11,67
2015-05-12,84
2015-05-13,89
2015-05-14,73
2015-05-15,79
2015-05-16,47
2015-05-17,60
2015-05-18,83
2015-05-19,78
2015-05-20,73
2015-05-21,88
2015-05-22,65
2015-05-23,42
2015-05-24,52
2015-05-25,65
2015-05-26,63
2015-05-27,72
2015-05-28,92
2015-05-29,61
2015-05-30,61
2015-05-31,62
2015-06-01,68
2015-06-02,76
2015-06-03,82
2015-06-04,91
2015-06-05,67
2015-06-06,40
2015-06-07,32
2015-06-08,67
2015-06-09,77
2015-06-10,87
2015-06-11,85
2015-06-12,67
2015-06-13,52
2015-06-14,48
2015-06-15,69
2015-06-16,89
2015-06-17,76
2015-06-18,66
2015-06-19,81
2015-06-20,55
2015-06-21,54
2015-06-22,84
2015-06-23,87
2015-06-24,92
2015-06-25,73
2015-06-26,84
2015-06-27,68
2015-06-28,75
2015-06-29,80
2015-06-30,76
2015-07-01,71
2015-07-02,77
2015-07-03,63
2015-07-04,52
2015-07-05,47
2015-07-06,83
2015-07-07,79
2015-07-08,80
2015-07-09,69
2015-07-10,78
2015-07-11,61
2015-07-12,66
2015-07-13,100
2015-07-14,94
2015-07-15,84
2015-07-16,73
2015-07-17,84
2015-07-18,45
2015-07-19,53
2015-07-20,58
2015-07-21,66
2015-07-22,62
2015-07-23,64
2015-07-24,71
2015-07-25,48
2015-07-26,53
2015-07-27,73
2015-07-28,66
2015-07-29,75
2015-07-30,74
2015-07-31,63
2015-08-01,56
2015-08-02,59
2015-08-03,65
2015-08-04,81
2015-08-05,70
2015-08-06,59
2015-08-07,78
2015-08-08,44
2015-08-09,36
2015-08-10,73
2015-08-11,79
2015-08-12,79
2015-08-13,78
2015-08-14,74
2015-08-15,45
2015-08-16,46
2015-08-17,77
2015-08-18,63
2015-08-19,74
2015-08-20,75
2015-08-21,74
2015-08-22,46
2015-08-23,56
2015-08-24,64
2015-08-25,67
2015-08-26,75
2015-08-27,70
2015-08-28,69
2015-08-29,37
2015-08-30,55
2015-08-31,54
