DATE,COUNT
1/1/2015,52
1/2/2015,40
1/3/2015,33
1/4/2015,61
1/5/2015,40
1/6/2015,57
1/7/2015,40
1/8/2015,36
1/9/2015,29
1/10/2015,23
1/11/2015,36
1/12/2015,43
1/13/2015,46
1/14/2015,40
1/15/2015,70
1/16/2015,45
1/17/2015,37
1/18/2015,36
1/19/2015,62
1/20/2015,47
1/21/2015,78
1/22/2015,47
1/23/2015,32
1/24/2015,51
1/25/2015,41
1/26/2015,42
1/27/2015,46
1/28/2015,100
1/29/2015,62
1/30/2015,40
1/31/2015,22
2/1/2015,40
2/2/2015,50
2/3/2015,39
2/4/2015,39
2/5/2015,51
2/6/2015,36
2/7/2015,32
2/8/2015,41
2/9/2015,19
2/10/2015,50
2/11/2015,42
2/12/2015,55
2/13/2015,45
2/14/2015,32
2/15/2015,37
2/16/2015,45
2/17/2015,40
2/18/2015,27
2/19/2015,24
2/20/2015,45
2/21/2015,18
2/22/2015,50
2/23/2015,38
2/24/2015,41
2/25/2015,38
2/26/2015,46
2/27/2015,24
2/28/2015,41
3/1/2015,26
3/2/2015,34
3/3/2015,38
3/4/2015,27
3/5/2015,27
3/6/2015,77
3/7/2015,81
3/8/2015,86
3/9/2015,38
3/10/2015,38
3/11/2015,72
3/12/2015,54
3/13/2015,39
3/14/2015,45
3/15/2015,35
3/16/2015,62
3/17/2015,35
3/18/2015,46
3/19/2015,23
3/20/2015,39
3/21/2015,27
3/22/2015,31
3/23/2015,61
3/24/2015,41
3/25/2015,30
3/26/2015,38
3/27/2015,51
3/28/2015,31
3/29/2015,25
3/30/2015,33
3/31/2015,41
4/1/2015,55
4/2/2015,48
4/3/2015,42
4/4/2015,30
4/5/2015,45
4/6/2015,52
4/7/2015,65
4/8/2015,37
4/9/2015,46
4/10/2015,35
4/11/2015,34
4/12/2015,29
4/13/2015,53
4/14/2015,37
4/15/2015,20
4/16/2015,46
4/17/2015,21
4/18/2015,34
4/19/2015,29
4/20/2015,40
4/21/2015,53
4/22/2015,44
4/23/2015,54
4/24/2015,25
4/25/2015,24
4/26/2015,48
4/27/2015,28
4/28/2015,44
4/29/2015,41
4/30/2015,46
5/1/2015,32
5/2/2015,24
5/3/2015,28
5/4/2015,49
5/5/2015,41
5/6/2015,20
5/7/2015,33
5/8/2015,39
5/9/2015,39
5/10/2015,44
5/11/2015,24
5/12/2015,16
5/13/2015,48
5/14/2015,50
5/15/2015,43
5/16/2015,24
5/17/2015,19
5/18/2015,36
5/19/2015,36
5/20/2015,32
5/21/2015,54
5/22/2015,38
5/23/2015,29
5/24/2015,39
5/25/2015,54
5/26/2015,24
5/27/2015,28
5/28/2015,41
5/29/2015,21
5/30/2015,34
5/31/2015,19
6/1/2015,32
6/2/2015,24
6/3/2015,36
6/4/2015,55
6/5/2015,13
6/6/2015,24
6/7/2015,34
6/8/2015,44
6/9/2015,24
6/10/2015,52
6/11/2015,45
6/12/2015,27
6/13/2015,27
6/14/2015,26
6/15/2015,32
6/16/2015,58
6/17/2015,33
6/18/2015,26
6/19/2015,31
6/20/2015,36
6/21/2015,26
6/22/2015,47
6/23/2015,33
6/24/2015,34
6/25/2015,37
6/26/2015,46
6/27/2015,26
6/28/2015,22
6/29/2015,25
6/30/2015,52
7/1/2015,48
7/2/2015,41
7/3/2015,36
7/4/2015,31
7/5/2015,63
7/6/2015,40
7/7/2015,40
7/8/2015,44
7/9/2015,33
7/10/2015,66
7/11/2015,27
7/12/2015,66
7/13/2015,69
7/14/2015,48
7/15/2015,59
7/16/2015,52
7/17/2015,43
7/18/2015,66
7/19/2015,47
7/20/2015,31
7/21/2015,52
7/22/2015,37
7/23/2015,41
7/24/2015,15
7/25/2015,57
7/26/2015,40
7/27/2015,51
7/28/2015,40
7/29/2015,63
7/30/2015,37
7/31/2015,42
8/1/2015,39.73626374
8/2/2015,53.64395604
8/3/2015,40.72967033
8/4/2015,66.55824176
8/5/2015,52.65054945
8/6/2015,36.75604396
8/7/2015,38.74285714
8/8/2015,43.70989011
8/9/2015,43.70989011
8/10/2015,54.63736264
8/11/2015,47.68351648
8/12/2015,55.63076923
8/13/2015,29.8021978
8/14/2015,33.77582418
8/15/2015,74.50549451
8/16/2015,64.57142857
8/17/2015,54.63736264
8/18/2015,49.67032967
8/19/2015,39.73626374
8/20/2015,32.78241758
8/21/2015,45.6967033
8/22/2015,38.74285714
8/23/2015,8.940659341
8/24/2015,27.81538462
8/25/2015,31.78901099
8/26/2015,42.71648352
8/27/2015,64.57142857
8/28/2015,37.74945055
8/29/2015,38.74285714
8/30/2015,37.74945055
8/31/2015,27.81538462
9/1/2015,31.78901099
9/2/2015,42.71648352
9/3/2015,24.83516484
9/4/2015,25.82857143
9/5/2015,49.67032967
9/6/2015,41.72307692
9/7/2015,21.85494505
9/8/2015,48.67692308
9/9/2015,27.81538462
9/10/2015,24.83516484
9/11/2015,44.7032967
9/12/2015,28.80879121
9/13/2015,40.72967033
9/14/2015,52.65054945
9/15/2015,45.6967033
9/16/2015,52.65054945
9/17/2015,27.81538462
9/18/2015,37.74945055
9/19/2015,36.75604396
9/20/2015,36.75604396
9/21/2015,55.63076923
9/22/2015,34.76923077
9/23/2015,34.76923077
9/24/2015,61.59120879
9/25/2015,10.92747253
9/26/2015,16.88791209
9/27/2015,36.75604396
9/28/2015,30.7956044
9/29/2015,58.61098901
9/30/2015,16.88791209
10/1/2015,27.81538462
10/2/2015,28.80879121
10/3/2015,36.75604396
10/4/2015,43.70989011
10/5/2015,30.7956044
10/6/2015,37.74945055
10/7/2015,47.68351648
10/8/2015,37.74945055
10/9/2015,46.69010989
10/10/2015,36.75604396
10/11/2015,77.48571429
10/12/2015,28.80879121
10/13/2015,33.77582418
10/14/2015,40.72967033
10/15/2015,41.72307692
10/16/2015,42.71648352
10/17/2015,44.7032967
10/18/2015,51.65714286
10/19/2015,43.70989011
10/20/2015,50.66373626
10/21/2015,40.72967033
10/22/2015,56.62417582
10/23/2015,50.66373626
10/24/2015,64.57142857
10/25/2015,38.74285714
10/26/2015,39.73626374
10/27/2015,47.68351648
10/28/2015,37.74945055
10/29/2015,61.59120879
10/30/2015,57.61758242
10/31/2015,20.86153846
11/1/2015,36.75604396
11/2/2015,71.52527473
11/3/2015,47.68351648
11/4/2015,50.66373626
11/5/2015,47.68351648
11/6/2015,35.76263736
11/7/2015,35.76263736
11/8/2015,67.55164835
11/9/2015,54.63736264
11/10/2015,54.63736264
11/11/2015,63.57802198
11/12/2015,49.67032967
11/13/2015,43.70989011
11/14/2015,23.84175824
11/15/2015,59.6043956
11/16/2015,30.7956044
11/17/2015,36.75604396
11/18/2015,37.74945055
11/19/2015,37.74945055
