Category: All categories

Day,cryptocurrency: (Worldwide)
2019-09-01,29
2019-09-02,39
2019-09-03,41
2019-09-04,39
2019-09-05,36
2019-09-06,43
2019-09-07,59
2019-09-08,37
2019-09-09,36
2019-09-10,37
2019-09-11,34
2019-09-12,37
2019-09-13,37
2019-09-14,31
2019-09-15,33
2019-09-16,38
2019-09-17,40
2019-09-18,46
2019-09-19,43
2019-09-20,36
2019-09-21,31
2019-09-22,34
2019-09-23,39
2019-09-24,50
2019-09-25,49
2019-09-26,45
2019-09-27,41
2019-09-28,39
2019-09-29,33
2019-09-30,41
2019-10-01,37
2019-10-02,36
2019-10-03,37
2019-10-04,35
2019-10-05,35
2019-10-06,34
2019-10-07,36
2019-10-08,36
2019-10-09,39
2019-10-10,38
2019-10-11,36
2019-10-12,33
2019-10-13,30
2019-10-14,38
2019-10-15,42
2019-10-16,41
2019-10-17,36
2019-10-18,35
2019-10-19,31
2019-10-20,31
2019-10-21,38
2019-10-22,39
2019-10-23,50
2019-10-24,46
2019-10-25,39
2019-10-26,50
2019-10-27,37
2019-10-28,39
2019-10-29,40
2019-10-30,40
2019-10-31,37
2019-11-01,32
2019-11-02,30
2019-11-03,35
2019-11-04,34
2019-11-05,42
2019-11-06,40
2019-11-07,40
2019-11-08,34
2019-11-09,30
2019-11-10,30
2019-11-11,38
2019-11-12,38
2019-11-13,40
2019-11-14,37
2019-11-15,34
2019-11-16,32
2019-11-17,33
2019-11-18,35
2019-11-19,40
2019-11-20,36
2019-11-21,37
2019-11-22,40
2019-11-23,34
2019-11-24,35
2019-11-25,43
2019-11-26,37
2019-11-27,34
2019-11-28,29
2019-11-29,29
2019-11-30,33
2019-12-01,29
2019-12-02,36
2019-12-03,35
2019-12-04,39
2019-12-05,32
2019-12-06,30
2019-12-07,32
2019-12-08,25
2019-12-09,33
2019-12-10,37
2019-12-11,33
2019-12-12,33
2019-12-13,32
2019-12-14,30
2019-12-15,34
2019-12-16,33
2019-12-17,44
2019-12-18,42
2019-12-19,33
2019-12-20,32
2019-12-21,32
2019-12-22,27
2019-12-23,34
2019-12-24,33
2019-12-25,33
2019-12-26,29
2019-12-27,30
2019-12-28,36
2019-12-29,32
2019-12-30,31
2019-12-31,34
2020-01-01,31
2020-01-02,38
2020-01-03,37
2020-01-04,30
2020-01-05,33
2020-01-06,38
2020-01-07,41
2020-01-08,44
2020-01-09,36
2020-01-10,36
2020-01-11,39
2020-01-12,35
2020-01-13,36
2020-01-14,45
2020-01-15,52
2020-01-16,41
2020-01-17,42
2020-01-18,41
2020-01-19,41
2020-01-20,41
2020-01-21,39
2020-01-22,38
2020-01-23,40
2020-01-24,34
2020-01-25,33
2020-01-26,34
2020-01-27,35
2020-01-28,40
2020-01-29,42
2020-01-30,39
2020-01-31,40
2020-02-01,38
2020-02-02,31
2020-02-03,35
2020-02-04,44
2020-02-05,44
2020-02-06,49
2020-02-07,41
2020-02-08,36
2020-02-09,45
2020-02-10,46
2020-02-11,43
2020-02-12,55
2020-02-13,49
2020-02-14,49
2020-02-15,49
2020-02-16,48
2020-02-17,51
2020-02-18,48
2020-02-19,51
2020-02-20,45
2020-02-21,45
2020-02-22,44
2020-02-23,42
2020-02-24,44
2020-02-25,43
2020-02-26,43
2020-02-27,39
2020-02-28,36
2020-02-29,36
2020-03-01,35
2020-03-02,37
2020-03-03,39
2020-03-04,100
2020-03-05,70
2020-03-06,53
2020-03-07,46
2020-03-08,45
2020-03-09,53
2020-03-10,50
2020-03-11,45
2020-03-12,61
2020-03-13,75
2020-03-14,50
2020-03-15,47
2020-03-16,50
2020-03-17,41
2020-03-18,40
2020-03-19,43
2020-03-20,48
2020-03-21,46
2020-03-22,44
2020-03-23,37
2020-03-24,51
2020-03-25,41
2020-03-26,40
2020-03-27,35
2020-03-28,43
2020-03-29,45
2020-03-30,41
2020-03-31,36
2020-04-01,39
2020-04-02,44
2020-04-03,38
2020-04-04,42
2020-04-05,43
2020-04-06,47
2020-04-07,47
2020-04-08,38
2020-04-09,46
2020-04-10,46
2020-04-11,41
2020-04-12,43
2020-04-13,42
2020-04-14,36
2020-04-15,43
2020-04-16,43
2020-04-17,42
2020-04-18,42
2020-04-19,51
2020-04-20,45
2020-04-21,49
2020-04-22,45
2020-04-23,48
2020-04-24,52
2020-04-25,54
2020-04-26,48
2020-04-27,45
2020-04-28,43
2020-04-29,57
2020-04-30,58
