Category: All categories

Day,cryptocurrency: (Worldwide)
2015-01-01,52
2015-01-02,40
2015-01-03,33
2015-01-04,61
2015-01-05,40
2015-01-06,57
2015-01-07,40
2015-01-08,36
2015-01-09,29
2015-01-10,23
2015-01-11,36
2015-01-12,43
2015-01-13,46
2015-01-14,40
2015-01-15,70
2015-01-16,45
2015-01-17,37
2015-01-18,36
2015-01-19,62
2015-01-20,47
2015-01-21,78
2015-01-22,47
2015-01-23,32
2015-01-24,51
2015-01-25,41
2015-01-26,42
2015-01-27,46
2015-01-28,100
2015-01-29,62
2015-01-30,40
2015-01-31,22
2015-02-01,40
2015-02-02,50
2015-02-03,39
2015-02-04,39
2015-02-05,51
2015-02-06,36
2015-02-07,32
2015-02-08,41
2015-02-09,19
2015-02-10,50
2015-02-11,42
2015-02-12,55
2015-02-13,45
2015-02-14,32
2015-02-15,37
2015-02-16,45
2015-02-17,40
2015-02-18,27
2015-02-19,24
2015-02-20,45
2015-02-21,18
2015-02-22,50
2015-02-23,38
2015-02-24,41
2015-02-25,38
2015-02-26,46
2015-02-27,24
2015-02-28,41
2015-03-01,26
2015-03-02,34
2015-03-03,38
2015-03-04,27
2015-03-05,27
2015-03-06,77
2015-03-07,81
2015-03-08,86
2015-03-09,38
2015-03-10,38
2015-03-11,72
2015-03-12,54
2015-03-13,39
2015-03-14,45
2015-03-15,35
2015-03-16,62
2015-03-17,35
2015-03-18,46
2015-03-19,23
2015-03-20,39
2015-03-21,27
2015-03-22,31
2015-03-23,61
2015-03-24,41
2015-03-25,30
2015-03-26,38
2015-03-27,51
2015-03-28,31
2015-03-29,25
2015-03-30,33
2015-03-31,41
2015-04-01,55
2015-04-02,48
2015-04-03,42
2015-04-04,30
2015-04-05,45
2015-04-06,52
2015-04-07,65
2015-04-08,37
2015-04-09,46
2015-04-10,35
2015-04-11,34
2015-04-12,29
2015-04-13,53
2015-04-14,37
2015-04-15,20
2015-04-16,46
2015-04-17,21
2015-04-18,34
2015-04-19,29
2015-04-20,40
2015-04-21,53
2015-04-22,44
2015-04-23,54
2015-04-24,25
2015-04-25,24
2015-04-26,48
2015-04-27,28
2015-04-28,44
2015-04-29,41
2015-04-30,46
2015-05-01,32
2015-05-02,24
2015-05-03,28
2015-05-04,49
2015-05-05,41
2015-05-06,20
2015-05-07,33
2015-05-08,39
2015-05-09,39
2015-05-10,44
2015-05-11,24
2015-05-12,16
2015-05-13,48
2015-05-14,50
2015-05-15,43
2015-05-16,24
2015-05-17,19
2015-05-18,36
2015-05-19,36
2015-05-20,32
2015-05-21,54
2015-05-22,38
2015-05-23,29
2015-05-24,39
2015-05-25,54
2015-05-26,24
2015-05-27,28
2015-05-28,41
2015-05-29,21
2015-05-30,34
2015-05-31,19
2015-06-01,32
2015-06-02,24
2015-06-03,36
2015-06-04,55
2015-06-05,13
2015-06-06,24
2015-06-07,34
2015-06-08,44
2015-06-09,24
2015-06-10,52
2015-06-11,45
2015-06-12,27
2015-06-13,27
2015-06-14,26
2015-06-15,32
2015-06-16,58
2015-06-17,33
2015-06-18,26
2015-06-19,31
2015-06-20,36
2015-06-21,26
2015-06-22,47
2015-06-23,33
2015-06-24,34
2015-06-25,37
2015-06-26,46
2015-06-27,26
2015-06-28,22
2015-06-29,25
2015-06-30,52
2015-07-01,48
2015-07-02,41
2015-07-03,36
2015-07-04,31
2015-07-05,63
2015-07-06,40
2015-07-07,40
2015-07-08,44
2015-07-09,33
2015-07-10,66
2015-07-11,27
2015-07-12,66
2015-07-13,69
2015-07-14,48
2015-07-15,59
2015-07-16,52
2015-07-17,43
2015-07-18,66
2015-07-19,47
2015-07-20,31
2015-07-21,52
2015-07-22,37
2015-07-23,41
2015-07-24,15
2015-07-25,57
2015-07-26,40
2015-07-27,51
2015-07-28,40
2015-07-29,63
2015-07-30,37
2015-07-31,42
2015-08-01,40
2015-08-02,54
2015-08-03,40
2015-08-04,66
2015-08-05,52
2015-08-06,37
2015-08-07,39
2015-08-08,44
2015-08-09,44
2015-08-10,55
2015-08-11,47
2015-08-12,56
2015-08-13,30
2015-08-14,34
2015-08-15,74
2015-08-16,64
2015-08-17,54
2015-08-18,50
2015-08-19,40
2015-08-20,33
2015-08-21,45
2015-08-22,39
2015-08-23,8
2015-08-24,28
2015-08-25,32
2015-08-26,43
2015-08-27,65
2015-08-28,38
2015-08-29,39
2015-08-30,38
2015-08-31,28
