DATE,COUNT
1/1/2015,35
1/2/2015,36
1/3/2015,52
1/4/2015,47
1/5/2015,65
1/6/2015,70
1/7/2015,56
1/8/2015,65
1/9/2015,55
1/10/2015,36
1/11/2015,49
1/12/2015,75
1/13/2015,75
1/14/2015,84
1/15/2015,64
1/16/2015,69
1/17/2015,41
1/18/2015,56
1/19/2015,67
1/20/2015,76
1/21/2015,61
1/22/2015,70
1/23/2015,63
1/24/2015,39
1/25/2015,53
1/26/2015,69
1/27/2015,62
1/28/2015,76
1/29/2015,61
1/30/2015,62
1/31/2015,36
2/1/2015,62
2/2/2015,72
2/3/2015,68
2/4/2015,62
2/5/2015,64
2/6/2015,62
2/7/2015,39
2/8/2015,42
2/9/2015,76
2/10/2015,73
2/11/2015,72
2/12/2015,63
2/13/2015,57
2/14/2015,42
2/15/2015,59
2/16/2015,96
2/17/2015,84
2/18/2015,100
2/19/2015,87
2/20/2015,74
2/21/2015,47
2/22/2015,61
2/23/2015,96
2/24/2015,70
2/25/2015,85
2/26/2015,81
2/27/2015,65
2/28/2015,45
3/1/2015,50
3/2/2015,83
3/3/2015,80
3/4/2015,85
3/5/2015,74
3/6/2015,69
3/7/2015,59
3/8/2015,50
3/9/2015,84
3/10/2015,79
3/11/2015,74
3/12/2015,67
3/13/2015,68
3/14/2015,45
3/15/2015,59
3/16/2015,83
3/17/2015,79
3/18/2015,65
3/19/2015,73
3/20/2015,65
3/21/2015,38
3/22/2015,51
3/23/2015,73
3/24/2015,72
3/25/2015,70
3/26/2015,78
3/27/2015,61
3/28/2015,54
3/29/2015,49
3/30/2015,79
3/31/2015,73
4/1/2015,71
4/2/2015,72
4/3/2015,50
4/4/2015,37
4/5/2015,35
4/6/2015,49
4/7/2015,64
4/8/2015,54
4/9/2015,70
4/10/2015,57
4/11/2015,36
4/12/2015,51
4/13/2015,68
4/14/2015,68
4/15/2015,66
4/16/2015,72
4/17/2015,61
4/18/2015,30
4/19/2015,41
4/20/2015,65
4/21/2015,84
4/22/2015,60
4/23/2015,67
4/24/2015,66
4/25/2015,51
4/26/2015,52
4/27/2015,67
4/28/2015,70
4/29/2015,69
4/30/2015,62
5/1/2015,40
5/2/2015,41
5/3/2015,42
5/4/2015,75
5/5/2015,75
5/6/2015,66
5/7/2015,74
5/8/2015,68
5/9/2015,49
5/10/2015,40
5/11/2015,67
5/12/2015,65
5/13/2015,66
5/14/2015,54
5/15/2015,60
5/16/2015,46
5/17/2015,39
5/18/2015,70
5/19/2015,79
5/20/2015,75
5/21/2015,70
5/22/2015,62
5/23/2015,35
5/24/2015,36
5/25/2015,46
5/26/2015,63
5/27/2015,69
5/28/2015,77
5/29/2015,54
5/30/2015,42
5/31/2015,39
6/1/2015,62
6/2/2015,63
6/3/2015,67
6/4/2015,59
6/5/2015,64
6/6/2015,38
6/7/2015,46
6/8/2015,62
6/9/2015,67
6/10/2015,53
6/11/2015,64
6/12/2015,58
6/13/2015,39
6/14/2015,49
6/15/2015,54
6/16/2015,65
6/17/2015,72
6/18/2015,82
6/19/2015,52
6/20/2015,44
6/21/2015,38
6/22/2015,68
6/23/2015,49
6/24/2015,55
6/25/2015,53
6/26/2015,49
6/27/2015,40
6/28/2015,36
6/29/2015,61
6/30/2015,59
7/1/2015,56
7/2/2015,54
7/3/2015,56
7/4/2015,28
7/5/2015,32
7/6/2015,62
7/7/2015,59
7/8/2015,63
7/9/2015,50
7/10/2015,69
7/11/2015,42
7/12/2015,47
7/13/2015,58
7/14/2015,66
7/15/2015,64
7/16/2015,62
7/17/2015,61
7/18/2015,37
7/19/2015,43
7/20/2015,65
7/21/2015,57
7/22/2015,57
7/23/2015,55
7/24/2015,63
7/25/2015,34
7/26/2015,45
7/27/2015,57
7/28/2015,52
7/29/2015,47
7/30/2015,52
7/31/2015,57
8/1/2015,41.02702703
8/2/2015,42.16666667
8/3/2015,61.54054054
8/4/2015,68.37837838
8/5/2015,59.26126126
8/6/2015,63.81981982
8/7/2015,49.0045045
8/8/2015,37.60810811
8/9/2015,43.30630631
8/10/2015,64.95945946
8/11/2015,62.68018018
8/12/2015,60.4009009
8/13/2015,63.81981982
8/14/2015,55.84234234
8/15/2015,42.16666667
8/16/2015,42.16666667
8/17/2015,71.7972973
8/18/2015,68.37837838
8/19/2015,64.95945946
8/20/2015,74.07657658
8/21/2015,58.12162162
8/22/2015,39.88738739
8/23/2015,46.72522523
8/24/2015,75.21621622
8/25/2015,66.0990991
8/26/2015,56.98198198
8/27/2015,67.23873874
8/28/2015,52.42342342
8/29/2015,44.44594595
8/30/2015,55.84234234
8/31/2015,70.65765766
9/1/2015,83.19369369
9/2/2015,72.93693694
9/3/2015,71.7972973
9/4/2015,61.54054054
9/5/2015,46.72522523
9/6/2015,60.4009009
9/7/2015,78.63513514
9/8/2015,74.07657658
9/9/2015,75.21621622
9/10/2015,67.23873874
9/11/2015,76.35585586
9/12/2015,52.42342342
9/13/2015,60.4009009
9/14/2015,100.2882883
9/15/2015,113.963964
9/16/2015,104.8468468
9/17/2015,91.17117117
9/18/2015,84.33333333
9/19/2015,58.12162162
9/20/2015,63.81981982
9/21/2015,102.5675676
9/22/2015,95.72972973
9/23/2015,91.17117117
9/24/2015,95.72972973
9/25/2015,80.91441441
9/26/2015,53.56306306
9/27/2015,43.30630631
9/28/2015,85.47297297
9/29/2015,93.45045045
9/30/2015,69.51801802
10/1/2015,74.07657658
10/2/2015,77.4954955
10/3/2015,44.44594595
10/4/2015,49.0045045
10/5/2015,79.77477477
10/6/2015,82.05405405
10/7/2015,68.37837838
10/8/2015,71.7972973
10/9/2015,63.81981982
10/10/2015,41.02702703
10/11/2015,55.84234234
10/12/2015,76.35585586
10/13/2015,72.93693694
10/14/2015,77.4954955
10/15/2015,61.54054054
10/16/2015,64.95945946
10/17/2015,39.88738739
10/18/2015,50.14414414
10/19/2015,68.37837838
10/20/2015,70.65765766
10/21/2015,74.07657658
10/22/2015,84.33333333
10/23/2015,77.4954955
10/24/2015,49.0045045
10/25/2015,47.86486486
10/26/2015,70.65765766
10/27/2015,75.21621622
10/28/2015,83.19369369
10/29/2015,84.33333333
10/30/2015,67.23873874
10/31/2015,47.86486486
11/1/2015,47.86486486
11/2/2015,76.35585586
11/3/2015,80.91441441
11/4/2015,76.35585586
11/5/2015,67.23873874
11/6/2015,63.81981982
11/7/2015,50.14414414
11/8/2015,44.44594595
11/9/2015,68.37837838
11/10/2015,74.07657658
11/11/2015,66.0990991
11/12/2015,74.07657658
11/13/2015,66.0990991
11/14/2015,37.60810811
11/15/2015,50.14414414
11/16/2015,74.07657658
11/17/2015,72.93693694
11/18/2015,66.0990991
11/19/2015,74.07657658
11/20/2015,75.21621622
11/21/2015,39.88738739
11/22/2015,50.14414414
11/23/2015,71.7972973
11/24/2015,80.91441441
11/25/2015,75.21621622
11/26/2015,70.65765766
11/27/2015,64.95945946
11/28/2015,41.02702703
11/29/2015,53.56306306
11/30/2015,76.35585586
12/1/2015,83.19369369
12/2/2015,67.23873874
12/3/2015,74.07657658
12/4/2015,63.81981982
12/5/2015,46.72522523
12/6/2015,45.58558559
12/7/2015,78.63513514
12/8/2015,75.21621622
12/9/2015,68.37837838
12/10/2015,72.93693694
12/11/2015,74.07657658
12/12/2015,44.44594595
12/13/2015,60.4009009
12/14/2015,72.93693694
12/15/2015,77.4954955
12/16/2015,71.7972973
12/17/2015,78.63513514
12/18/2015,72.93693694
12/19/2015,55.84234234
12/20/2015,47.86486486
12/21/2015,52.42342342
12/22/2015,49.0045045
12/23/2015,59.26126126
12/24/2015,34.18918919
12/25/2015,44.44594595
12/26/2015,33.04954955
12/27/2015,49.0045045
12/28/2015,41.02702703
12/29/2015,52.42342342
12/30/2015,44.44594595
12/31/2015,38.74774775
1/1/2016,36.46846847
1/2/2016,43.30630631
1/3/2016,47.86486486
1/4/2016,82.05405405
1/5/2016,75.21621622
1/6/2016,79.77477477
1/7/2016,100.2882883
1/8/2016,100.2882883
1/9/2016,55.84234234
1/10/2016,56.98198198
1/11/2016,76.35585586
1/12/2016,74.07657658
1/13/2016,69.51801802
1/14/2016,78.63513514
1/15/2016,69.51801802
1/16/2016,54.7027027
1/17/2016,63.81981982
1/18/2016,82.05405405
1/19/2016,87.75225225
1/20/2016,79.77477477
1/21/2016,70.65765766
1/22/2016,80.91441441
1/23/2016,47.86486486
1/24/2016,54.7027027
1/25/2016,91.17117117
1/26/2016,78.63513514
1/27/2016,71.7972973
1/28/2016,71.7972973
1/29/2016,85.47297297
1/30/2016,49.0045045
1/31/2016,62.68018018
2/1/2016,79.77477477
2/2/2016,68.37837838
2/3/2016,70.65765766
2/4/2016,66.0990991
2/5/2016,54.7027027
2/6/2016,51.28378378
2/7/2016,51.28378378
2/8/2016,79.77477477
2/9/2016,88.89189189
2/10/2016,76.35585586
2/11/2016,85.47297297
2/12/2016,75.21621622
2/13/2016,49.0045045
2/14/2016,49.0045045
2/15/2016,80.91441441
2/16/2016,77.4954955
2/17/2016,72.93693694
2/18/2016,93.45045045
2/19/2016,80.91441441
2/20/2016,60.4009009
2/21/2016,67.23873874
2/22/2016,111.6846847
2/23/2016,94.59009009
2/24/2016,107.1261261
2/25/2016,98.00900901
2/26/2016,84.33333333
2/27/2016,62.68018018
2/28/2016,64.95945946
2/29/2016,90.03153153
3/1/2016,94.88018018
3/2/2016,98.62545045
3/3/2016,101.1222973
3/4/2016,86.14121622
3/5/2016,64.91801802
3/6/2016,66.16644144
3/7/2016,104.8675676
3/8/2016,83.64436937
3/9/2016,89.88648649
3/10/2016,103.6191441
3/11/2016,92.38333333
3/12/2016,72.40855856
3/13/2016,73.65698198
3/14/2016,97.37702703
3/15/2016,86.14121622
3/16/2016,94.88018018
3/17/2016,83.64436937
3/18/2016,82.39594595
3/19/2016,49.93693694
3/20/2016,61.17274775
3/21/2016,98.62545045
3/22/2016,71.16013514
3/23/2016,92.38333333
3/24/2016,84.89279279
3/25/2016,54.93063063
3/26/2016,41.19797297
3/27/2016,47.44009009
3/28/2016,63.66959459
3/29/2016,82.39594595
3/30/2016,77.40225225
3/31/2016,69.91171171
4/1/2016,73.65698198
4/2/2016,44.94324324
4/3/2016,52.43378378
4/4/2016,83.64436937
4/5/2016,92.38333333
4/6/2016,71.16013514
4/7/2016,83.64436937
4/8/2016,76.15382883
4/9/2016,56.17905405
4/10/2016,61.17274775
4/11/2016,92.38333333
4/12/2016,89.88648649
4/13/2016,87.38963964
4/14/2016,83.64436937
4/15/2016,66.16644144
4/16/2016,39.94954955
4/17/2016,63.66959459
4/18/2016,78.65067568
4/19/2016,87.38963964
4/20/2016,74.90540541
4/21/2016,77.40225225
4/22/2016,62.42117117
4/23/2016,54.93063063
4/24/2016,57.42747748
4/25/2016,73.65698198
4/26/2016,81.14752252
4/27/2016,72.40855856
4/28/2016,76.15382883
4/29/2016,62.42117117
4/30/2016,56.17905405
5/1/2016,56.17905405
5/2/2016,88.63806306
5/3/2016,83.64436937
5/4/2016,77.40225225
5/5/2016,62.42117117
5/6/2016,59.92432432
5/7/2016,57.42747748
5/8/2016,48.68851351
5/9/2016,79.8990991
5/10/2016,79.8990991
5/11/2016,81.14752252
5/12/2016,81.14752252
5/13/2016,69.91171171
5/14/2016,64.91801802
5/15/2016,46.19166667
5/16/2016,57.42747748
5/17/2016,78.65067568
5/18/2016,81.14752252
5/19/2016,87.38963964
5/20/2016,77.40225225
5/21/2016,57.42747748
5/22/2016,53.68220721
5/23/2016,81.14752252
5/24/2016,92.38333333
5/25/2016,88.63806306
5/26/2016,82.39594595
5/27/2016,86.14121622
5/28/2016,68.66328829
5/29/2016,72.40855856
5/30/2016,89.88648649
5/31/2016,86.14121622
6/1/2016,72.40855856
6/2/2016,78.65067568
6/3/2016,86.14121622
6/4/2016,49.93693694
6/5/2016,69.91171171
6/6/2016,94.88018018
6/7/2016,83.64436937
6/8/2016,74.90540541
6/9/2016,78.65067568
6/10/2016,63.66959459
6/11/2016,49.93693694
6/12/2016,64.91801802
6/13/2016,91.13490991
6/14/2016,92.38333333
6/15/2016,81.14752252
6/16/2016,83.64436937
6/17/2016,121.0970721
6/18/2016,78.65067568
6/19/2016,67.41486486
6/20/2016,96.1286036
6/21/2016,87.38963964
6/22/2016,88.63806306
6/23/2016,79.8990991
6/24/2016,71.16013514
6/25/2016,49.93693694
6/26/2016,57.42747748
6/27/2016,74.90540541
6/28/2016,73.65698198
6/29/2016,82.39594595
6/30/2016,66.16644144
7/1/2016,76.15382883
7/2/2016,61.17274775
7/3/2016,62.42117117
7/4/2016,76.15382883
7/5/2016,82.39594595
7/6/2016,73.65698198
7/7/2016,63.66959459
7/8/2016,64.91801802
7/9/2016,44.94324324
7/10/2016,51.18536036
7/11/2016,72.40855856
7/12/2016,57.42747748
7/13/2016,82.39594595
7/14/2016,66.16644144
7/15/2016,71.16013514
7/16/2016,41.19797297
7/17/2016,43.69481982
7/18/2016,64.91801802
7/19/2016,73.65698198
7/20/2016,72.40855856
7/21/2016,71.16013514
7/22/2016,69.91171171
7/23/2016,52.43378378
7/24/2016,63.66959459
7/25/2016,61.17274775
7/26/2016,91.13490991
7/27/2016,73.65698198
7/28/2016,82.39594595
7/29/2016,81.14752252
7/30/2016,51.18536036
7/31/2016,56.17905405
8/1/2016,56.17905405
8/2/2016,82.39594595
8/3/2016,74.90540541
8/4/2016,68.66328829
8/5/2016,73.65698198
8/6/2016,58.6759009
8/7/2016,58.6759009
8/8/2016,74.90540541
8/9/2016,86.14121622
8/10/2016,61.17274775
8/11/2016,74.90540541
8/12/2016,67.41486486
8/13/2016,46.19166667
8/14/2016,68.66328829
8/15/2016,64.91801802
8/16/2016,66.16644144
8/17/2016,62.42117117
8/18/2016,76.15382883
8/19/2016,69.91171171
8/20/2016,48.68851351
8/21/2016,63.66959459
8/22/2016,59.92432432
8/23/2016,78.65067568
8/24/2016,71.16013514
8/25/2016,63.66959459
8/26/2016,72.40855856
8/27/2016,48.68851351
8/28/2016,47.44009009
8/29/2016,76.15382883
8/30/2016,73.65698198
8/31/2016,83.64436937
9/1/2016,78.65067568
9/2/2016,81.14752252
9/3/2016,52.43378378
9/4/2016,64.91801802
9/5/2016,92.38333333
9/6/2016,102.3707207
9/7/2016,87.38963964
9/8/2016,86.14121622
9/9/2016,63.66959459
9/10/2016,59.92432432
9/11/2016,48.68851351
9/12/2016,76.15382883
9/13/2016,74.90540541
9/14/2016,81.14752252
9/15/2016,88.63806306
9/16/2016,79.8990991
9/17/2016,52.43378378
9/18/2016,72.40855856
9/19/2016,121.0970721
9/20/2016,124.8423423
9/21/2016,113.6065315
9/22/2016,109.8612613
9/23/2016,108.6128378
9/24/2016,62.42117117
9/25/2016,56.17905405
9/26/2016,106.115991
9/27/2016,116.1033784
9/28/2016,103.6191441
9/29/2016,94.88018018
9/30/2016,78.65067568
10/1/2016,61.46986285
10/2/2016,64.14246558
10/3/2016,93.54109564
10/4/2016,88.19589017
10/5/2016,88.19589017
10/6/2016,85.52328744
10/7/2016,74.83287651
10/8/2016,58.79726012
10/9/2016,61.46986285
10/10/2016,88.19589017
10/11/2016,85.52328744
10/12/2016,74.83287651
10/13/2016,82.85068471
10/14/2016,82.85068471
10/15/2016,42.76164372
10/16/2016,53.45205465
10/17/2016,82.85068471
10/18/2016,82.85068471
10/19/2016,80.17808198
10/20/2016,88.19589017
10/21/2016,66.81506831
10/22/2016,53.45205465
