Category: All categories

Day,eth: (Worldwide)
2017-12-01,45
2017-12-02,36
2017-12-03,34
2017-12-04,45
2017-12-05,48
2017-12-06,61
2017-12-07,67
2017-12-08,60
2017-12-09,52
2017-12-10,46
2017-12-11,47
2017-12-12,83
2017-12-13,86
2017-12-14,79
2017-12-15,65
2017-12-16,51
2017-12-17,55
2017-12-18,61
2017-12-19,80
2017-12-20,65
2017-12-21,70
2017-12-22,79
2017-12-23,53
2017-12-24,47
2017-12-25,45
2017-12-26,47
2017-12-27,44
2017-12-28,46
2017-12-29,49
2017-12-30,49
2017-12-31,41
2018-01-01,47
2018-01-02,69
2018-01-03,76
2018-01-04,90
2018-01-05,87
2018-01-06,70
2018-01-07,75
2018-01-08,94
2018-01-09,92
2018-01-10,100
2018-01-11,90
2018-01-12,75
2018-01-13,75
2018-01-14,71
2018-01-15,70
2018-01-16,85
2018-01-17,85
2018-01-18,69
2018-01-19,62
2018-01-20,57
2018-01-21,46
2018-01-22,54
2018-01-23,49
2018-01-24,48
2018-01-25,48
2018-01-26,45
2018-01-27,39
2018-01-28,50
2018-01-29,48
2018-01-30,54
2018-01-31,52
2018-02-01,54
2018-02-02,55
2018-02-03,41
2018-02-04,38
2018-02-05,52
2018-02-06,55
2018-02-07,43
2018-02-08,40
2018-02-09,36
2018-02-10,34
2018-02-11,36
2018-02-12,38
2018-02-13,34
2018-02-14,35
2018-02-15,36
2018-02-16,33
2018-02-17,34
2018-02-18,37
2018-02-19,37
2018-02-20,42
2018-02-21,40
2018-02-22,35
2018-02-23,33
2018-02-24,30
2018-02-25,28
2018-02-26,34
2018-02-27,34
2018-02-28,34
2018-03-01,32
2018-03-02,34
2018-03-03,27
2018-03-04,28
2018-03-05,36
2018-03-06,33
2018-03-07,34
2018-03-08,30
2018-03-09,35
2018-03-10,28
2018-03-11,26
2018-03-12,30
2018-03-13,29
2018-03-14,32
2018-03-15,32
2018-03-16,28
2018-03-17,23
2018-03-18,31
2018-03-19,32
2018-03-20,31
2018-03-21,31
2018-03-22,27
2018-03-23,26
2018-03-24,21
2018-03-25,23
2018-03-26,29
2018-03-27,30
2018-03-28,30
2018-03-29,34
2018-03-30,30
2018-03-31,24
2018-04-01,23
2018-04-02,25
2018-04-03,27
2018-04-04,28
2018-04-05,25
2018-04-06,25
2018-04-07,17
2018-04-08,21
2018-04-09,26
2018-04-10,26
2018-04-11,24
2018-04-12,25
2018-04-13,29
2018-04-14,22
2018-04-15,24
2018-04-16,24
2018-04-17,24
2018-04-18,24
2018-04-19,29
2018-04-20,30
2018-04-21,21
2018-04-22,25
2018-04-23,29
2018-04-24,33
2018-04-25,31
2018-04-26,28
2018-04-27,26
2018-04-28,24
2018-04-29,25
2018-04-30,27
2018-05-01,25
2018-05-02,26
2018-05-03,34
2018-05-04,33
2018-05-05,29
2018-05-06,28
2018-05-07,35
2018-05-08,28
2018-05-09,28
2018-05-10,25
2018-05-11,29
2018-05-12,21
2018-05-13,22
2018-05-14,30
2018-05-15,27
2018-05-16,26
2018-05-17,27
2018-05-18,24
2018-05-19,19
2018-05-20,19
2018-05-21,24
2018-05-22,25
2018-05-23,27
2018-05-24,27
2018-05-25,23
2018-05-26,19
2018-05-27,20
2018-05-28,28
2018-05-29,26
2018-05-30,25
2018-05-31,27
2018-06-01,23
2018-06-02,21
2018-06-03,20
2018-06-04,26
2018-06-05,27
2018-06-06,21
2018-06-07,23
2018-06-08,22
2018-06-09,17
2018-06-10,20
2018-06-11,26
2018-06-12,26
2018-06-13,25
2018-06-14,24
2018-06-15,21
2018-06-16,17
2018-06-17,15
2018-06-18,20
2018-06-19,21
2018-06-20,21
2018-06-21,21
2018-06-22,20
2018-06-23,18
2018-06-24,17
2018-06-25,20
2018-06-26,20
2018-06-27,20
2018-06-28,19
2018-06-29,20
2018-06-30,17
2018-07-01,16
2018-07-02,20
2018-07-03,22
2018-07-04,20
2018-07-05,19
2018-07-06,20
2018-07-07,15
2018-07-08,16
2018-07-09,21
2018-07-10,19
2018-07-11,18
2018-07-12,17
2018-07-13,19
2018-07-14,14
2018-07-15,15
2018-07-16,20
2018-07-17,22
2018-07-18,24
2018-07-19,22
2018-07-20,20
2018-07-21,17
2018-07-22,17
2018-07-23,22
2018-07-24,22
2018-07-25,22
2018-07-26,21
2018-07-27,19
2018-07-28,17
2018-07-29,15
2018-07-30,19
2018-07-31,19
