Category: All categories

Day,eth: (Worldwide)
2015-01-01,35
2015-01-02,36
2015-01-03,52
2015-01-04,47
2015-01-05,65
2015-01-06,70
2015-01-07,56
2015-01-08,65
2015-01-09,55
2015-01-10,36
2015-01-11,49
2015-01-12,75
2015-01-13,75
2015-01-14,84
2015-01-15,64
2015-01-16,69
2015-01-17,41
2015-01-18,56
2015-01-19,67
2015-01-20,76
2015-01-21,61
2015-01-22,70
2015-01-23,63
2015-01-24,39
2015-01-25,53
2015-01-26,69
2015-01-27,62
2015-01-28,76
2015-01-29,61
2015-01-30,62
2015-01-31,36
2015-02-01,62
2015-02-02,72
2015-02-03,68
2015-02-04,62
2015-02-05,64
2015-02-06,62
2015-02-07,39
2015-02-08,42
2015-02-09,76
2015-02-10,73
2015-02-11,72
2015-02-12,63
2015-02-13,57
2015-02-14,42
2015-02-15,59
2015-02-16,96
2015-02-17,84
2015-02-18,100
2015-02-19,87
2015-02-20,74
2015-02-21,47
2015-02-22,61
2015-02-23,96
2015-02-24,70
2015-02-25,85
2015-02-26,81
2015-02-27,65
2015-02-28,45
2015-03-01,50
2015-03-02,83
2015-03-03,80
2015-03-04,85
2015-03-05,74
2015-03-06,69
2015-03-07,59
2015-03-08,50
2015-03-09,84
2015-03-10,79
2015-03-11,74
2015-03-12,67
2015-03-13,68
2015-03-14,45
2015-03-15,59
2015-03-16,83
2015-03-17,79
2015-03-18,65
2015-03-19,73
2015-03-20,65
2015-03-21,38
2015-03-22,51
2015-03-23,73
2015-03-24,72
2015-03-25,70
2015-03-26,78
2015-03-27,61
2015-03-28,54
2015-03-29,49
2015-03-30,79
2015-03-31,73
2015-04-01,71
2015-04-02,72
2015-04-03,50
2015-04-04,37
2015-04-05,35
2015-04-06,49
2015-04-07,64
2015-04-08,54
2015-04-09,70
2015-04-10,57
2015-04-11,36
2015-04-12,51
2015-04-13,68
2015-04-14,68
2015-04-15,66
2015-04-16,72
2015-04-17,61
2015-04-18,30
2015-04-19,41
2015-04-20,65
2015-04-21,84
2015-04-22,60
2015-04-23,67
2015-04-24,66
2015-04-25,51
2015-04-26,52
2015-04-27,67
2015-04-28,70
2015-04-29,69
2015-04-30,62
2015-05-01,40
2015-05-02,41
2015-05-03,42
2015-05-04,75
2015-05-05,75
2015-05-06,66
2015-05-07,74
2015-05-08,68
2015-05-09,49
2015-05-10,40
2015-05-11,67
2015-05-12,65
2015-05-13,66
2015-05-14,54
2015-05-15,60
2015-05-16,46
2015-05-17,39
2015-05-18,70
2015-05-19,79
2015-05-20,75
2015-05-21,70
2015-05-22,62
2015-05-23,35
2015-05-24,36
2015-05-25,46
2015-05-26,63
2015-05-27,69
2015-05-28,77
2015-05-29,54
2015-05-30,42
2015-05-31,39
2015-06-01,62
2015-06-02,63
2015-06-03,67
2015-06-04,59
2015-06-05,64
2015-06-06,38
2015-06-07,46
2015-06-08,62
2015-06-09,67
2015-06-10,53
2015-06-11,64
2015-06-12,58
2015-06-13,39
2015-06-14,49
2015-06-15,54
2015-06-16,65
2015-06-17,72
2015-06-18,82
2015-06-19,52
2015-06-20,44
2015-06-21,38
2015-06-22,68
2015-06-23,49
2015-06-24,55
2015-06-25,53
2015-06-26,49
2015-06-27,40
2015-06-28,36
2015-06-29,61
2015-06-30,59
2015-07-01,56
2015-07-02,54
2015-07-03,56
2015-07-04,28
2015-07-05,32
2015-07-06,62
2015-07-07,59
2015-07-08,63
2015-07-09,50
2015-07-10,69
2015-07-11,42
2015-07-12,47
2015-07-13,58
2015-07-14,66
2015-07-15,64
2015-07-16,62
2015-07-17,61
2015-07-18,37
2015-07-19,43
2015-07-20,65
2015-07-21,57
2015-07-22,57
2015-07-23,55
2015-07-24,63
2015-07-25,34
2015-07-26,45
2015-07-27,57
2015-07-28,52
2015-07-29,47
2015-07-30,52
2015-07-31,57
2015-08-01,41
2015-08-02,42
2015-08-03,62
2015-08-04,69
2015-08-05,59
2015-08-06,64
2015-08-07,49
2015-08-08,38
2015-08-09,43
2015-08-10,65
2015-08-11,62
2015-08-12,61
2015-08-13,64
2015-08-14,56
2015-08-15,43
2015-08-16,42
2015-08-17,71
2015-08-18,69
2015-08-19,65
2015-08-20,74
2015-08-21,58
2015-08-22,40
2015-08-23,46
2015-08-24,75
2015-08-25,66
2015-08-26,57
2015-08-27,67
2015-08-28,52
2015-08-29,44
2015-08-30,56
2015-08-31,71
