DATE,COUNT
1/1/2015,5
1/2/2015,3
1/3/2015,2
1/4/2015,7
1/5/2015,4
1/6/2015,6
1/7/2015,2
1/8/2015,5
1/9/2015,6
1/10/2015,4
1/11/2015,4
1/12/2015,6
1/13/2015,2
1/14/2015,4
1/15/2015,7
1/16/2015,5
1/17/2015,6
1/18/2015,5
1/19/2015,3
1/20/2015,4
1/21/2015,7
1/22/2015,2
1/23/2015,5
1/24/2015,5
1/25/2015,4
1/26/2015,2
1/27/2015,4
1/28/2015,7
1/29/2015,2
1/30/2015,3
1/31/2015,2
2/1/2015,5
2/2/2015,5
2/3/2015,3
2/4/2015,2
2/5/2015,5
2/6/2015,6
2/7/2015,5
2/8/2015,2
2/9/2015,1
2/10/2015,4
2/11/2015,2
2/12/2015,4
2/13/2015,6
2/14/2015,2
2/15/2015,4
2/16/2015,6
2/17/2015,4
2/18/2015,5
2/19/2015,2
2/20/2015,4
2/21/2015,5
2/22/2015,3
2/23/2015,4
2/24/2015,7
2/25/2015,2
2/26/2015,2
2/27/2015,5
2/28/2015,4
3/1/2015,5
3/2/2015,2
3/3/2015,3
3/4/2015,2
3/5/2015,5
3/6/2015,3
3/7/2015,5
3/8/2015,1
3/9/2015,3
3/10/2015,3
3/11/2015,2
3/12/2015,3
3/13/2015,2
3/14/2015,4
3/15/2015,4
3/16/2015,9
3/17/2015,8
3/18/2015,6
3/19/2015,11
3/20/2015,3
3/21/2015,11
3/22/2015,4
3/23/2015,11
3/24/2015,15
3/25/2015,25
3/26/2015,55
3/27/2015,51
3/28/2015,33
3/29/2015,34
3/30/2015,21
3/31/2015,15
4/1/2015,12
4/2/2015,13
4/3/2015,47
4/4/2015,49
4/5/2015,36
4/6/2015,28
4/7/2015,45
4/8/2015,13
4/9/2015,15
4/10/2015,16
4/11/2015,9
4/12/2015,11
4/13/2015,7
4/14/2015,9
4/15/2015,8
4/16/2015,7
4/17/2015,12
4/18/2015,8
4/19/2015,10
4/20/2015,11
4/21/2015,8
4/22/2015,5
4/23/2015,9
4/24/2015,2
4/25/2015,11
4/26/2015,8
4/27/2015,5
4/28/2015,4
4/29/2015,3
4/30/2015,8
5/1/2015,10
5/2/2015,8
5/3/2015,3
5/4/2015,5
5/5/2015,5
5/6/2015,5
5/7/2015,5
5/8/2015,7
5/9/2015,3
5/10/2015,1
5/11/2015,4
5/12/2015,5
5/13/2015,22
5/14/2015,16
5/15/2015,19
5/16/2015,13
5/17/2015,11
5/18/2015,7
5/19/2015,3
5/20/2015,3
5/21/2015,8
5/22/2015,9
5/23/2015,6
5/24/2015,5
5/25/2015,6
5/26/2015,4
5/27/2015,7
5/28/2015,4
5/29/2015,2
5/30/2015,7
5/31/2015,5
6/1/2015,2
6/2/2015,7
6/3/2015,5
6/4/2015,3
6/5/2015,3
6/6/2015,7
6/7/2015,7
6/8/2015,5
6/9/2015,5
6/10/2015,5
6/11/2015,2
6/12/2015,4
6/13/2015,2
6/14/2015,4
6/15/2015,2
6/16/2015,3
6/17/2015,4
6/18/2015,4
6/19/2015,4
6/20/2015,5
6/21/2015,5
6/22/2015,7
6/23/2015,3
6/24/2015,3
6/25/2015,7
6/26/2015,2
6/27/2015,2
6/28/2015,4
6/29/2015,2
6/30/2015,4
7/1/2015,3
7/2/2015,2
7/3/2015,4
7/4/2015,2
7/5/2015,4
7/6/2015,3
7/7/2015,4
7/8/2015,1
7/9/2015,2
7/10/2015,0
7/11/2015,2
7/12/2015,4
7/13/2015,29
7/14/2015,100
7/15/2015,68
7/16/2015,72
7/17/2015,44
7/18/2015,65
7/19/2015,56
7/20/2015,7
7/21/2015,5
7/22/2015,4
7/23/2015,3
7/24/2015,5
7/25/2015,3
7/26/2015,3
7/27/2015,3
7/28/2015,4
7/29/2015,4
7/30/2015,7
7/31/2015,7
8/1/2015,9.176470588
8/2/2015,5.117647059
8/3/2015,2.470588235
8/4/2015,4.235294118
8/5/2015,2.647058824
8/6/2015,3.352941176
8/7/2015,2.647058824
8/8/2015,6
8/9/2015,9
8/10/2015,4.941176471
8/11/2015,8.294117647
8/12/2015,3.352941176
8/13/2015,5.117647059
8/14/2015,6.882352941
8/15/2015,7.058823529
8/16/2015,5.823529412
8/17/2015,4.058823529
8/18/2015,5.647058824
8/19/2015,3.352941176
8/20/2015,4.235294118
8/21/2015,0.8823529412
8/22/2015,6.882352941
8/23/2015,4.764705882
8/24/2015,4.058823529
8/25/2015,4.058823529
8/26/2015,4.941176471
8/27/2015,4.058823529
8/28/2015,6
8/29/2015,5.823529412
8/30/2015,1.941176471
8/31/2015,3.176470588
9/1/2015,3.529411765
9/2/2015,2.294117647
9/3/2015,6.705882353
9/4/2015,7.588235294
9/5/2015,6
9/6/2015,7.764705882
9/7/2015,2.294117647
9/8/2015,4.411764706
9/9/2015,2.117647059
9/10/2015,5.823529412
9/11/2015,3
9/12/2015,5.117647059
9/13/2015,4.941176471
9/14/2015,2.117647059
9/15/2015,0
9/16/2015,4.941176471
9/17/2015,5.647058824
9/18/2015,2.294117647
9/19/2015,1.764705882
9/20/2015,4.235294118
9/21/2015,2.117647059
9/22/2015,2.117647059
9/23/2015,3.529411765
9/24/2015,2.294117647
9/25/2015,1.588235294
9/26/2015,0.8823529412
9/27/2015,0.8823529412
9/28/2015,4.235294118
9/29/2015,3.529411765
9/30/2015,2.117647059
10/1/2015,1.411764706
10/2/2015,2.294117647
10/3/2015,5.823529412
10/4/2015,3.352941176
10/5/2015,4.235294118
10/6/2015,1.411764706
10/7/2015,2.117647059
10/8/2015,2.117647059
10/9/2015,2.294117647
10/10/2015,3.352941176
10/11/2015,5.117647059
10/12/2015,1.411764706
10/13/2015,2.117647059
10/14/2015,1.411764706
10/15/2015,1.411764706
10/16/2015,3
10/17/2015,5.823529412
10/18/2015,2.470588235
10/19/2015,2.823529412
10/20/2015,0.7058823529
10/21/2015,0.7058823529
10/22/2015,1.411764706
10/23/2015,4.588235294
10/24/2015,6.705882353
10/25/2015,2.470588235
10/26/2015,6.176470588
10/27/2015,1.411764706
10/28/2015,4.235294118
10/29/2015,4.235294118
10/30/2015,3.705882353
10/31/2015,5.117647059
11/1/2015,8.294117647
11/2/2015,2.117647059
11/3/2015,1.411764706
11/4/2015,2.117647059
11/5/2015,3.529411765
11/6/2015,6.705882353
11/7/2015,6.529411765
11/8/2015,4.058823529
11/9/2015,6.352941176
11/10/2015,4.235294118
11/11/2015,2.117647059
11/12/2015,3
11/13/2015,2.294117647
11/14/2015,2.470588235
11/15/2015,2.470588235
11/16/2015,2.117647059
11/17/2015,1.411764706
11/18/2015,1.411764706
11/19/2015,2.823529412
11/20/2015,1.411764706
11/21/2015,4.058823529
11/22/2015,2.470588235
11/23/2015,5.647058824
11/24/2015,0.7058823529
11/25/2015,2.117647059
11/26/2015,4.411764706
11/27/2015,1.411764706
11/28/2015,3.352941176
11/29/2015,1.588235294
11/30/2015,5.470588235
12/1/2015,4.235294118
12/2/2015,1.411764706
12/3/2015,4.941176471
12/4/2015,2.294117647
12/5/2015,3.352941176
12/6/2015,4.941176471
12/7/2015,2.823529412
12/8/2015,3.529411765
12/9/2015,4.941176471
12/10/2015,3.529411765
12/11/2015,3.705882353
12/12/2015,5.117647059
12/13/2015,2.470588235
12/14/2015,2.823529412
12/15/2015,3
12/16/2015,5.117647059
12/17/2015,1.588235294
12/18/2015,1.588235294
12/19/2015,3.529411765
12/20/2015,2.647058824
12/21/2015,3.705882353
12/22/2015,0.7058823529
12/23/2015,0.8823529412
12/24/2015,0.8823529412
12/25/2015,3
12/26/2015,5.294117647
12/27/2015,1.764705882
12/28/2015,4.588235294
12/29/2015,1.588235294
12/30/2015,0.7058823529
12/31/2015,4.411764706
1/1/2016,1.941176471
1/2/2016,1.764705882
1/3/2016,4.235294118
1/4/2016,2.294117647
1/5/2016,1.588235294
1/6/2016,6.176470588
1/7/2016,3.882352941
1/8/2016,3.882352941
1/9/2016,4.235294118
1/10/2016,3.352941176
1/11/2016,1.411764706
1/12/2016,2.294117647
1/13/2016,0.7058823529
1/14/2016,5.294117647
1/15/2016,8.647058824
1/16/2016,5.117647059
1/17/2016,2.470588235
1/18/2016,4.588235294
1/19/2016,9
1/20/2016,4.411764706
1/21/2016,3.705882353
1/22/2016,4.588235294
1/23/2016,2.470588235
1/24/2016,9.176470588
1/25/2016,7.411764706
1/26/2016,6.705882353
1/27/2016,5.117647059
1/28/2016,12
1/29/2016,10.94117647
1/30/2016,8.647058824
1/31/2016,9.352941176
2/1/2016,3.705882353
2/2/2016,3.705882353
2/3/2016,2.294117647
2/4/2016,4.588235294
2/5/2016,7.764705882
2/6/2016,2.647058824
2/7/2016,7.764705882
2/8/2016,4.588235294
2/9/2016,3.705882353
2/10/2016,10.41176471
2/11/2016,7.588235294
2/12/2016,9.352941176
2/13/2016,6.705882353
2/14/2016,3.352941176
2/15/2016,8.294117647
2/16/2016,3
2/17/2016,8.117647059
2/18/2016,4.411764706
2/19/2016,8.470588235
2/20/2016,9.352941176
2/21/2016,2.470588235
2/22/2016,4.411764706
2/23/2016,6.529411765
2/24/2016,9.529411765
2/25/2016,2.294117647
2/26/2016,8.647058824
2/27/2016,6.705882353
2/28/2016,6.705882353
2/29/2016,6.529411765
3/1/2016,6.451804651
3/2/2016,8.841361929
3/3/2016,16.96585667
3/4/2016,9.79718484
3/5/2016,10.99196348
3/6/2016,10.03614057
3/7/2016,7.407627562
3/8/2016,10.75300775
3/9/2016,10.2750963
3/10/2016,10.51405202
3/11/2016,6.929716106
3/12/2016,9.558229112
3/13/2016,9.080317657
3/14/2016,17.68272386
3/15/2016,11.70883066
3/16/2016,4.540158828
3/17/2016,11.23091921
3/18/2016,11.70883066
3/19/2016,8.602406201
3/20/2016,9.319273384
3/21/2016,6.690760379
3/22/2016,6.690760379
3/23/2016,8.363450473
3/24/2016,8.602406201
3/25/2016,5.734937467
3/26/2016,7.885539018
3/27/2016,6.212848923
3/28/2016,8.363450473
3/29/2016,12.42569785
3/30/2016,10.2750963
3/31/2016,11.94778639
4/1/2016,6.929716106
4/2/2016,10.99196348
4/3/2016,6.690760379
4/4/2016,9.319273384
4/5/2016,11.23091921
4/6/2016,8.124494745
4/7/2016,3.584335917
4/8/2016,3.823291645
4/9/2016,9.319273384
4/10/2016,7.407627562
4/11/2016,7.885539018
4/12/2016,6.451804651
4/13/2016,3.823291645
4/14/2016,7.407627562
4/15/2016,7.64658329
4/16/2016,5.257026012
4/17/2016,10.99196348
4/18/2016,7.168671834
4/19/2016,3.584335917
4/20/2016,9.558229112
4/21/2016,2.867468734
4/22/2016,8.602406201
4/23/2016,7.64658329
4/24/2016,3.345380189
4/25/2016,7.168671834
4/26/2016,5.734937467
4/27/2016,2.867468734
4/28/2016,5.257026012
4/29/2016,7.168671834
4/30/2016,5.257026012
5/1/2016,5.973893195
5/2/2016,8.363450473
5/3/2016,5.973893195
5/4/2016,5.257026012
5/5/2016,4.540158828
5/6/2016,4.779114556
5/7/2016,8.602406201
5/8/2016,5.257026012
5/9/2016,4.540158828
5/10/2016,5.734937467
5/11/2016,7.407627562
5/12/2016,4.3012031
5/13/2016,8.363450473
5/14/2016,5.973893195
5/15/2016,5.018070284
5/16/2016,5.257026012
5/17/2016,5.018070284
5/18/2016,12.42569785
5/19/2016,15.53212231
5/20/2016,9.319273384
5/21/2016,21.02810405
5/22/2016,10.2750963
5/23/2016,10.99196348
5/24/2016,9.558229112
5/25/2016,20.31123686
5/26/2016,8.602406201
5/27/2016,12.66465357
5/28/2016,8.841361929
5/29/2016,10.51405202
5/30/2016,10.51405202
5/31/2016,16.24898949
6/1/2016,5.973893195
6/2/2016,15.77107804
6/3/2016,12.42569785
6/4/2016,6.929716106
6/5/2016,7.64658329
