Category: All categories

Day,bitcoin: (Worldwide)
2021-02-01,27
2021-02-02,25
2021-02-03,27
2021-02-04,28
2021-02-05,26
2021-02-06,31
2021-02-07,27
2021-02-08,60
2021-02-09,73
2021-02-10,48
2021-02-11,44
2021-02-12,42
2021-02-13,35
2021-02-14,39
2021-02-15,39
2021-02-16,43
2021-02-17,50
2021-02-18,44
2021-02-19,49
2021-02-20,55
2021-02-21,49
2021-02-22,56
2021-02-23,70
2021-02-24,53
2021-02-25,42
2021-02-26,44
2021-02-27,35
2021-02-28,40
2021-03-01,38
2021-03-02,34
2021-03-03,33
2021-03-04,31
2021-03-05,29
2021-03-06,27
2021-03-07,27
2021-03-08,29
2021-03-09,36
2021-03-10,34
2021-03-11,32
2021-03-12,31
2021-03-13,41
2021-03-14,39
2021-03-15,34
2021-03-16,34
2021-03-17,32
2021-03-18,31
2021-03-19,29
2021-03-20,26
2021-03-21,27
2021-03-22,29
2021-03-23,28
2021-03-24,32
2021-03-25,35
2021-03-26,28
2021-03-27,27
2021-03-28,25
2021-03-29,28
2021-03-30,30
2021-03-31,29
2021-04-01,31
2021-04-02,28
2021-04-03,26
2021-04-04,25
2021-04-05,27
2021-04-06,26
2021-04-07,25
2021-04-08,24
2021-04-09,22
2021-04-10,26
2021-04-11,26
2021-04-12,27
2021-04-13,36
2021-04-14,40
2021-04-15,33
2021-04-16,36
2021-04-17,29
2021-04-18,53
2021-04-19,43
2021-04-20,38
2021-04-21,31
2021-04-22,36
2021-04-23,56
2021-04-24,39
2021-04-25,34
2021-04-26,37
2021-04-27,33
2021-04-28,31
2021-04-29,28
2021-04-30,27
2021-05-01,27
2021-05-02,25
2021-05-03,28
2021-05-04,28
2021-05-05,28
2021-05-06,27
2021-05-07,26
2021-05-08,26
2021-05-09,27
2021-05-10,28
2021-05-11,27
2021-05-12,28
2021-05-13,68
2021-05-14,42
2021-05-15,33
2021-05-16,36
2021-05-17,53
2021-05-18,40
2021-05-19,100
2021-05-20,79
2021-05-21,60
2021-05-22,51
2021-05-23,61
2021-05-24,56
2021-05-25,45
2021-05-26,39
2021-05-27,35
2021-05-28,35
2021-05-29,35
2021-05-30,33
2021-05-31,32
2021-06-01,31
2021-06-02,30
2021-06-03,30
2021-06-04,34
2021-06-05,29
2021-06-06,32
2021-06-07,30
2021-06-08,41
2021-06-09,37
2021-06-10,33
2021-06-11,29
2021-06-12,24
2021-06-13,25
2021-06-14,32
2021-06-15,26
2021-06-16,24
2021-06-17,22
2021-06-18,22
2021-06-19,21
2021-06-20,22
2021-06-21,33
2021-06-22,43
2021-06-23,32
2021-06-24,27
2021-06-25,26
2021-06-26,25
2021-06-27,23
2021-06-28,25
2021-06-29,25
2021-06-30,22
2021-07-01,20
2021-07-02,20
2021-07-03,19
2021-07-04,20
2021-07-05,20
2021-07-06,19
2021-07-07,17
2021-07-08,19
2021-07-09,18
2021-07-10,16
2021-07-11,16
2021-07-12,17
2021-07-13,17
2021-07-14,18
2021-07-15,18
2021-07-16,18
2021-07-17,16
2021-07-18,17
2021-07-19,20
2021-07-20,26
2021-07-21,24
2021-07-22,21
2021-07-23,18
2021-07-24,18
2021-07-25,19
2021-07-26,35
2021-07-27,25
2021-07-28,24
2021-07-29,21
2021-07-30,20
2021-07-31,21
2021-08-01,19
2021-08-02,20
2021-08-03,18
2021-08-04,18
2021-08-05,18
2021-08-06,20
2021-08-07,23
2021-08-08,22
2021-08-09,24
2021-08-10,23
2021-08-11,24
2021-08-12,23
2021-08-13,21
2021-08-14,20
2021-08-15,20
2021-08-16,21
2021-08-17,20
2021-08-18,19
2021-08-19,18
2021-08-20,21
2021-08-21,20
2021-08-22,19
2021-08-23,24
2021-08-24,22
2021-08-25,20
2021-08-26,20
2021-08-27,18
2021-08-28,17
2021-08-29,16
2021-08-30,17
2021-08-31,18
2021-09-01,17
2021-09-02,18
2021-09-03,19
2021-09-04,16
2021-09-05,17
2021-09-06,20
2021-09-07,33
2021-09-08,30
2021-09-09,22
2021-09-10,20
2021-09-11,17
2021-09-12,16
2021-09-13,19
2021-09-14,17
2021-09-15,17
2021-09-16,17
2021-09-17,16
2021-09-18,15
2021-09-19,14
2021-09-20,22
2021-09-21,23
2021-09-22,20
2021-09-23,18
2021-09-24,26
2021-09-25,19
2021-09-26,17
2021-09-27,17
2021-09-28,17
2021-09-29,17
2021-09-30,16
