DATE,COUNT
1/1/2015,63
1/2/2015,70
1/3/2015,78
1/4/2015,76
1/5/2015,66
1/6/2015,83
1/7/2015,78
1/8/2015,80
1/9/2015,77
1/10/2015,74
1/11/2015,68
1/12/2015,82
1/13/2015,71
1/14/2015,83
1/15/2015,73
1/16/2015,77
1/17/2015,65
1/18/2015,69
1/19/2015,71
1/20/2015,72
1/21/2015,81
1/22/2015,77
1/23/2015,78
1/24/2015,76
1/25/2015,64
1/26/2015,72
1/27/2015,75
1/28/2015,71
1/29/2015,72
1/30/2015,83
1/31/2015,68
2/1/2015,70
2/2/2015,69
2/3/2015,76
2/4/2015,76
2/5/2015,73
2/6/2015,76
2/7/2015,80
2/8/2015,71
2/9/2015,75
2/10/2015,66
2/11/2015,87
2/12/2015,79
2/13/2015,78
2/14/2015,80
2/15/2015,75
2/16/2015,77
2/17/2015,71
2/18/2015,72
2/19/2015,74
2/20/2015,70
2/21/2015,70
2/22/2015,69
2/23/2015,78
2/24/2015,78
2/25/2015,75
2/26/2015,77
2/27/2015,68
2/28/2015,70
3/1/2015,65
3/2/2015,70
3/3/2015,71
3/4/2015,85
3/5/2015,75
3/6/2015,86
3/7/2015,81
3/8/2015,76
3/9/2015,70
3/10/2015,72
3/11/2015,70
3/12/2015,78
3/13/2015,72
3/14/2015,64
3/15/2015,75
3/16/2015,72
3/17/2015,72
3/18/2015,74
3/19/2015,77
3/20/2015,66
3/21/2015,73
3/22/2015,68
3/23/2015,81
3/24/2015,77
3/25/2015,71
3/26/2015,75
3/27/2015,69
3/28/2015,73
3/29/2015,68
3/30/2015,76
3/31/2015,74
4/1/2015,70
4/2/2015,80
4/3/2015,80
4/4/2015,74
4/5/2015,70
4/6/2015,80
4/7/2015,75
4/8/2015,80
4/9/2015,85
4/10/2015,73
4/11/2015,74
4/12/2015,80
4/13/2015,76
4/14/2015,83
4/15/2015,76
4/16/2015,90
4/17/2015,70
4/18/2015,73
4/19/2015,74
4/20/2015,68
4/21/2015,86
4/22/2015,78
4/23/2015,67
4/24/2015,70
4/25/2015,66
4/26/2015,67
4/27/2015,66
4/28/2015,68
4/29/2015,73
4/30/2015,79
5/1/2015,78
5/2/2015,51
5/3/2015,63
5/4/2015,76
5/5/2015,83
5/6/2015,100
5/7/2015,91
5/8/2015,84
5/9/2015,76
5/10/2015,49
5/11/2015,72
5/12/2015,78
5/13/2015,66
5/14/2015,73
5/15/2015,75
5/16/2015,71
5/17/2015,78
5/18/2015,76
5/19/2015,78
5/20/2015,73
5/21/2015,72
5/22/2015,66
5/23/2015,63
5/24/2015,63
5/25/2015,65
5/26/2015,62
5/27/2015,83
5/28/2015,88
5/29/2015,73
5/30/2015,84
5/31/2015,63
6/1/2015,72
6/2/2015,81
6/3/2015,80
6/4/2015,78
6/5/2015,71
6/6/2015,68
6/7/2015,65
6/8/2015,72
6/9/2015,74
6/10/2015,66
6/11/2015,75
6/12/2015,73
6/13/2015,64
6/14/2015,73
6/15/2015,64
6/16/2015,82
6/17/2015,78
6/18/2015,69
6/19/2015,69
6/20/2015,72
6/21/2015,79
6/22/2015,54
6/23/2015,79
6/24/2015,73
6/25/2015,69
6/26/2015,77
6/27/2015,79
6/28/2015,67
6/29/2015,75
6/30/2015,81
7/1/2015,76
7/2/2015,65
7/3/2015,67
7/4/2015,80
7/5/2015,75
7/6/2015,89
7/7/2015,75
7/8/2015,88
7/9/2015,87
7/10/2015,81
7/11/2015,83
7/12/2015,79
7/13/2015,70
7/14/2015,79
7/15/2015,81
7/16/2015,74
7/17/2015,69
7/18/2015,69
7/19/2015,74
7/20/2015,72
7/21/2015,93
7/22/2015,82
7/23/2015,70
7/24/2015,80
7/25/2015,72
7/26/2015,52
7/27/2015,84
7/28/2015,81
7/29/2015,74
7/30/2015,75
7/31/2015,82
8/1/2015,78.28160144
8/2/2015,82.34817814
8/3/2015,69.13180387
8/4/2015,85.39811066
8/5/2015,81.33153396
8/6/2015,67.09851552
8/7/2015,64.048583
8/8/2015,75.23166892
8/9/2015,57.94871795
8/10/2015,87.43139901
8/11/2015,84.38146649
8/12/2015,74.21502474
8/13/2015,75.23166892
8/14/2015,69.13180387
8/15/2015,76.24831309
8/16/2015,70.14844804
8/17/2015,75.23166892
8/18/2015,68.11515969
8/19/2015,72.18173639
8/20/2015,73.19838057
8/21/2015,73.19838057
8/22/2015,65.06522717
8/23/2015,71.16509222
8/24/2015,76.24831309
8/25/2015,80.31488979
8/26/2015,70.14844804
8/27/2015,62.01529465
8/28/2015,76.24831309
8/29/2015,67.09851552
8/30/2015,59.9820063
8/31/2015,72.18173639
9/1/2015,70.14844804
9/2/2015,71.16509222
9/3/2015,74.21502474
9/4/2015,65.06522717
9/5/2015,63.03193882
9/6/2015,71.16509222
9/7/2015,91.49797571
9/8/2015,71.16509222
9/9/2015,76.24831309
9/10/2015,63.03193882
9/11/2015,74.21502474
9/12/2015,74.21502474
9/13/2015,64.048583
9/14/2015,72.18173639
9/15/2015,73.19838057
9/16/2015,76.24831309
9/17/2015,74.21502474
9/18/2015,73.19838057
9/19/2015,59.9820063
9/20/2015,67.09851552
9/21/2015,65.06522717
9/22/2015,75.23166892
9/23/2015,77.26495726
9/24/2015,83.36482231
9/25/2015,84.38146649
9/26/2015,74.21502474
9/27/2015,75.23166892
9/28/2015,77.26495726
9/29/2015,71.16509222
9/30/2015,93.53126406
10/1/2015,82.34817814
10/2/2015,80.31488979
10/3/2015,75.23166892
10/4/2015,68.11515969
10/5/2015,78.28160144
10/6/2015,86.41475484
10/7/2015,86.41475484
10/8/2015,85.39811066
10/9/2015,81.33153396
10/10/2015,72.18173639
10/11/2015,70.14844804
10/12/2015,88.44804318
10/13/2015,77.26495726
10/14/2015,82.34817814
10/15/2015,91.49797571
10/16/2015,69.13180387
10/17/2015,77.26495726
10/18/2015,77.26495726
10/19/2015,88.44804318
10/20/2015,63.03193882
10/21/2015,72.18173639
10/22/2015,78.28160144
10/23/2015,65.06522717
10/24/2015,76.24831309
10/25/2015,73.19838057
10/26/2015,69.13180387
10/27/2015,86.41475484
10/28/2015,73.19838057
10/29/2015,78.28160144
10/30/2015,76.24831309
10/31/2015,63.03193882
11/1/2015,57.94871795
11/2/2015,73.19838057
11/3/2015,78.28160144
11/4/2015,79.29824561
11/5/2015,79.29824561
11/6/2015,74.21502474
11/7/2015,65.06522717
11/8/2015,72.18173639
11/9/2015,70.14844804
11/10/2015,82.34817814
11/11/2015,75.23166892
11/12/2015,76.24831309
11/13/2015,66.08187135
11/14/2015,59.9820063
11/15/2015,64.048583
11/16/2015,74.21502474
11/17/2015,76.24831309
11/18/2015,83.36482231
11/19/2015,71.16509222
11/20/2015,68.11515969
11/21/2015,67.09851552
11/22/2015,68.11515969
11/23/2015,67.09851552
11/24/2015,72.18173639
11/25/2015,68.11515969
11/26/2015,65.06522717
11/27/2015,66.08187135
11/28/2015,70.14844804
11/29/2015,69.13180387
11/30/2015,71.16509222
12/1/2015,71.16509222
12/2/2015,68.11515969
12/3/2015,87.43139901
12/4/2015,84.38146649
12/5/2015,64.048583
12/6/2015,74.21502474
12/7/2015,77.26495726
12/8/2015,81.33153396
12/9/2015,73.19838057
12/10/2015,82.34817814
12/11/2015,78.28160144
12/12/2015,94.54790823
12/13/2015,72.18173639
12/14/2015,84.38146649
12/15/2015,87.43139901
12/16/2015,80.31488979
12/17/2015,77.26495726
12/18/2015,74.21502474
12/19/2015,70.14844804
12/20/2015,82.34817814
12/21/2015,80.31488979
12/22/2015,87.43139901
12/23/2015,92.51461988
12/24/2015,98.61448493
12/25/2015,65.06522717
12/26/2015,66.08187135
12/27/2015,53.88214125
12/28/2015,72.18173639
12/29/2015,81.33153396
12/30/2015,73.19838057
12/31/2015,81.33153396
1/1/2016,67.09851552
1/2/2016,66.08187135
1/3/2016,64.048583
1/4/2016,65.06522717
1/5/2016,79.29824561
1/6/2016,67.09851552
1/7/2016,67.09851552
1/8/2016,75.23166892
1/9/2016,56.93207377
1/10/2016,71.16509222
1/11/2016,73.19838057
1/12/2016,78.28160144
1/13/2016,71.16509222
1/14/2016,65.06522717
1/15/2016,81.33153396
1/16/2016,74.21502474
1/17/2016,60.99865047
1/18/2016,67.09851552
1/19/2016,72.18173639
1/20/2016,76.24831309
1/21/2016,67.09851552
1/22/2016,64.048583
1/23/2016,70.14844804
1/24/2016,63.03193882
1/25/2016,69.13180387
1/26/2016,76.24831309
1/27/2016,74.21502474
1/28/2016,71.16509222
1/29/2016,78.28160144
1/30/2016,77.26495726
1/31/2016,55.9154296
2/1/2016,72.18173639
2/2/2016,73.19838057
2/3/2016,70.14844804
2/4/2016,68.11515969
2/5/2016,81.33153396
2/6/2016,71.16509222
2/7/2016,68.11515969
2/8/2016,79.29824561
2/9/2016,79.29824561
2/10/2016,68.11515969
2/11/2016,101.6644175
2/12/2016,96.58119658
2/13/2016,79.29824561
2/14/2016,79.29824561
2/15/2016,73.19838057
2/16/2016,80.31488979
2/17/2016,82.34817814
2/18/2016,74.21502474
2/19/2016,73.19838057
2/20/2016,60.99865047
2/21/2016,67.09851552
2/22/2016,74.21502474
2/23/2016,80.31488979
2/24/2016,89.46468736
2/25/2016,80.31488979
2/26/2016,72.18173639
2/27/2016,72.18173639
2/28/2016,75.23166892
2/29/2016,79.29824561
3/1/2016,94.16574528
3/2/2016,94.16574528
3/3/2016,73.52667782
3/4/2016,82.55626983
3/5/2016,82.55626983
3/6/2016,67.07696924
3/7/2016,70.94679439
3/8/2016,69.65685267
3/9/2016,78.68644469
3/10/2016,59.33731894
3/11/2016,81.26632812
3/12/2016,76.10656125
3/13/2016,78.68644469
3/14/2016,73.52667782
3/15/2016,86.42609498
3/16/2016,76.10656125
3/17/2016,76.10656125
3/18/2016,77.39650297
3/19/2016,60.62726066
3/20/2016,77.39650297
3/21/2016,74.81661954
3/22/2016,77.39650297
3/23/2016,63.20714409
3/24/2016,73.52667782
3/25/2016,68.36691096
3/26/2016,56.75743551
3/27/2016,69.65685267
3/28/2016,70.94679439
3/29/2016,68.36691096
3/30/2016,86.42609498
3/31/2016,67.07696924
4/1/2016,77.39650297
4/2/2016,60.62726066
4/3/2016,73.52667782
4/4/2016,77.39650297
4/5/2016,83.84621155
4/6/2016,83.84621155
4/7/2016,76.10656125
4/8/2016,79.9763864
4/9/2016,78.68644469
4/10/2016,79.9763864
4/11/2016,79.9763864
4/12/2016,76.10656125
4/13/2016,82.55626983
4/14/2016,77.39650297
4/15/2016,76.10656125
4/16/2016,74.81661954
4/17/2016,67.07696924
4/18/2016,76.10656125
4/19/2016,78.68644469
4/20/2016,79.9763864
4/21/2016,78.68644469
4/22/2016,82.55626983
4/23/2016,83.84621155
4/24/2016,73.52667782
4/25/2016,76.10656125
4/26/2016,74.81661954
4/27/2016,78.68644469
4/28/2016,81.26632812
4/29/2016,77.39650297
4/30/2016,85.13615327
