Category: All categories

Day,ripple: (Worldwide)
2021-06-01,88
2021-06-02,79
2021-06-03,85
2021-06-04,72
2021-06-05,69
2021-06-06,66
2021-06-07,81
2021-06-08,66
2021-06-09,70
2021-06-10,70
2021-06-11,60
2021-06-12,57
2021-06-13,65
2021-06-14,61
2021-06-15,66
2021-06-16,62
2021-06-17,58
2021-06-18,56
2021-06-19,51
2021-06-20,61
2021-06-21,68
2021-06-22,72
2021-06-23,59
2021-06-24,56
2021-06-25,50
2021-06-26,54
2021-06-27,57
2021-06-28,56
2021-06-29,53
2021-06-30,51
2021-07-01,49
2021-07-02,48
2021-07-03,59
2021-07-04,51
2021-07-05,47
2021-07-06,51
2021-07-07,48
2021-07-08,52
2021-07-09,47
2021-07-10,47
2021-07-11,48
2021-07-12,44
2021-07-13,48
2021-07-14,44
2021-07-15,50
2021-07-16,52
2021-07-17,47
2021-07-18,46
2021-07-19,46
2021-07-20,51
2021-07-21,52
2021-07-22,52
2021-07-23,50
2021-07-24,47
2021-07-25,40
2021-07-26,57
2021-07-27,56
2021-07-28,76
2021-07-29,62
2021-07-30,59
2021-07-31,55
2021-08-01,53
2021-08-02,57
2021-08-03,48
2021-08-04,51
2021-08-05,49
2021-08-06,52
2021-08-07,60
2021-08-08,61
2021-08-09,55
2021-08-10,65
2021-08-11,81
2021-08-12,69
2021-08-13,67
2021-08-14,100
2021-08-15,92
2021-08-16,80
2021-08-17,68
2021-08-18,68
2021-08-19,68
2021-08-20,70
2021-08-21,63
2021-08-22,67
2021-08-23,70
2021-08-24,75
2021-08-25,64
2021-08-26,63
2021-08-27,59
2021-08-28,54
2021-08-29,58
2021-08-30,55
2021-08-31,74
2021-09-01,69
2021-09-02,67
2021-09-03,69
2021-09-04,61
2021-09-05,57
2021-09-06,74
2021-09-07,72
2021-09-08,66
2021-09-09,58
2021-09-10,62
2021-09-11,53
2021-09-12,60
2021-09-13,51
2021-09-14,49
2021-09-15,56
2021-09-16,57
2021-09-17,55
2021-09-18,50
2021-09-19,47
2021-09-20,59
2021-09-21,54
2021-09-22,53
2021-09-23,56
2021-09-24,52
2021-09-25,55
2021-09-26,47
2021-09-27,51
2021-09-28,49
2021-09-29,54
2021-09-30,54
2021-10-01,62
2021-10-02,49
2021-10-03,51
2021-10-04,52
2021-10-05,55
2021-10-06,66
2021-10-07,61
2021-10-08,62
2021-10-09,67
2021-10-10,67
2021-10-11,63
2021-10-12,59
2021-10-13,58
2021-10-14,60
2021-10-15,62
2021-10-16,58
2021-10-17,55
2021-10-18,59
2021-10-19,56
2021-10-20,66
2021-10-21,64
2021-10-22,56
2021-10-23,54
2021-10-24,50
2021-10-25,58
2021-10-26,62
2021-10-27,63
2021-10-28,61
2021-10-29,60
2021-10-30,60
2021-10-31,55
2021-11-01,62
2021-11-02,67
2021-11-03,73
2021-11-04,71
2021-11-05,63
2021-11-06,55
2021-11-07,73
2021-11-08,76
2021-11-09,76
2021-11-10,83
2021-11-11,65
2021-11-12,63
2021-11-13,58
2021-11-14,61
2021-11-15,63
2021-11-16,60
2021-11-17,52
2021-11-18,55
2021-11-19,52
2021-11-20,51
2021-11-21,52
2021-11-22,55
2021-11-23,55
2021-11-24,53
2021-11-25,49
2021-11-26,52
2021-11-27,47
2021-11-28,49
2021-11-29,53
2021-11-30,54
2021-12-01,45
2021-12-02,52
2021-12-03,51
2021-12-04,65
2021-12-05,53
2021-12-06,54
2021-12-07,53
2021-12-08,54
2021-12-09,57
2021-12-10,52
2021-12-11,54
2021-12-12,53
2021-12-13,47
2021-12-14,54
2021-12-15,50
2021-12-16,48
2021-12-17,44
2021-12-18,45
2021-12-19,46
2021-12-20,51
2021-12-21,55
2021-12-22,56
2021-12-23,61
2021-12-24,64
2021-12-25,42
2021-12-26,45
2021-12-27,49
2021-12-28,48
2021-12-29,49
2021-12-30,45
2021-12-31,38
2022-01-01,48
2022-01-02,48
2022-01-03,49
2022-01-04,44
2022-01-05,45
2022-01-06,50
2022-01-07,48
2022-01-08,47
2022-01-09,46
2022-01-10,45
2022-01-11,45
2022-01-12,45
2022-01-13,43
2022-01-14,51
2022-01-15,41
2022-01-16,47
2022-01-17,44
2022-01-18,46
2022-01-19,47
2022-01-20,48
2022-01-21,48
2022-01-22,54
2022-01-23,46
2022-01-24,45
2022-01-25,44
2022-01-26,49
2022-01-27,46
2022-01-28,42
2022-01-29,44
2022-01-30,42
2022-01-31,41
