Category: All categories

Day,ripple: (Worldwide)
2015-01-01,63
2015-01-02,70
2015-01-03,78
2015-01-04,76
2015-01-05,66
2015-01-06,83
2015-01-07,78
2015-01-08,80
2015-01-09,77
2015-01-10,74
2015-01-11,68
2015-01-12,82
2015-01-13,71
2015-01-14,83
2015-01-15,73
2015-01-16,77
2015-01-17,65
2015-01-18,69
2015-01-19,71
2015-01-20,72
2015-01-21,81
2015-01-22,77
2015-01-23,78
2015-01-24,76
2015-01-25,64
2015-01-26,72
2015-01-27,75
2015-01-28,71
2015-01-29,72
2015-01-30,83
2015-01-31,68
2015-02-01,70
2015-02-02,69
2015-02-03,76
2015-02-04,76
2015-02-05,73
2015-02-06,76
2015-02-07,80
2015-02-08,71
2015-02-09,75
2015-02-10,66
2015-02-11,87
2015-02-12,79
2015-02-13,78
2015-02-14,80
2015-02-15,75
2015-02-16,77
2015-02-17,71
2015-02-18,72
2015-02-19,74
2015-02-20,70
2015-02-21,70
2015-02-22,69
2015-02-23,78
2015-02-24,78
2015-02-25,75
2015-02-26,77
2015-02-27,68
2015-02-28,70
2015-03-01,65
2015-03-02,70
2015-03-03,71
2015-03-04,85
2015-03-05,75
2015-03-06,86
2015-03-07,81
2015-03-08,76
2015-03-09,70
2015-03-10,72
2015-03-11,70
2015-03-12,78
2015-03-13,72
2015-03-14,64
2015-03-15,75
2015-03-16,72
2015-03-17,72
2015-03-18,74
2015-03-19,77
2015-03-20,66
2015-03-21,73
2015-03-22,68
2015-03-23,81
2015-03-24,77
2015-03-25,71
2015-03-26,75
2015-03-27,69
2015-03-28,73
2015-03-29,68
2015-03-30,76
2015-03-31,74
2015-04-01,70
2015-04-02,80
2015-04-03,80
2015-04-04,74
2015-04-05,70
2015-04-06,80
2015-04-07,75
2015-04-08,80
2015-04-09,85
2015-04-10,73
2015-04-11,74
2015-04-12,80
2015-04-13,76
2015-04-14,83
2015-04-15,76
2015-04-16,90
2015-04-17,70
2015-04-18,73
2015-04-19,74
2015-04-20,68
2015-04-21,86
2015-04-22,78
2015-04-23,67
2015-04-24,70
2015-04-25,66
2015-04-26,67
2015-04-27,66
2015-04-28,68
2015-04-29,73
2015-04-30,79
2015-05-01,78
2015-05-02,51
2015-05-03,63
2015-05-04,76
2015-05-05,83
2015-05-06,100
2015-05-07,91
2015-05-08,84
2015-05-09,76
2015-05-10,49
2015-05-11,72
2015-05-12,78
2015-05-13,66
2015-05-14,73
2015-05-15,75
2015-05-16,71
2015-05-17,78
2015-05-18,76
2015-05-19,78
2015-05-20,73
2015-05-21,72
2015-05-22,66
2015-05-23,63
2015-05-24,63
2015-05-25,65
2015-05-26,62
2015-05-27,83
2015-05-28,88
2015-05-29,73
2015-05-30,84
2015-05-31,63
2015-06-01,72
2015-06-02,81
2015-06-03,80
2015-06-04,78
2015-06-05,71
2015-06-06,68
2015-06-07,65
2015-06-08,72
2015-06-09,74
2015-06-10,66
2015-06-11,75
2015-06-12,73
2015-06-13,64
2015-06-14,73
2015-06-15,64
2015-06-16,82
2015-06-17,78
2015-06-18,69
2015-06-19,69
2015-06-20,72
2015-06-21,79
2015-06-22,54
2015-06-23,79
2015-06-24,73
2015-06-25,69
2015-06-26,77
2015-06-27,79
2015-06-28,67
2015-06-29,75
2015-06-30,81
2015-07-01,76
2015-07-02,65
2015-07-03,67
2015-07-04,80
2015-07-05,75
2015-07-06,89
2015-07-07,75
2015-07-08,88
2015-07-09,87
2015-07-10,81
2015-07-11,83
2015-07-12,79
2015-07-13,70
2015-07-14,79
2015-07-15,81
2015-07-16,74
2015-07-17,69
2015-07-18,69
2015-07-19,74
2015-07-20,72
2015-07-21,93
2015-07-22,82
2015-07-23,70
2015-07-24,80
2015-07-25,72
2015-07-26,52
2015-07-27,84
2015-07-28,81
2015-07-29,74
2015-07-30,75
2015-07-31,82
2015-08-01,79
2015-08-02,82
2015-08-03,69
2015-08-04,85
2015-08-05,81
2015-08-06,68
2015-08-07,64
2015-08-08,75
2015-08-09,58
2015-08-10,87
2015-08-11,84
2015-08-12,74
2015-08-13,76
2015-08-14,69
2015-08-15,77
2015-08-16,70
2015-08-17,75
2015-08-18,68
2015-08-19,72
2015-08-20,74
2015-08-21,73
2015-08-22,65
2015-08-23,71
2015-08-24,76
2015-08-25,81
2015-08-26,70
2015-08-27,62
2015-08-28,76
2015-08-29,67
2015-08-30,60
2015-08-31,72
