DATE,COUNT
1/1/2015,14
1/2/2015,49
1/3/2015,39
1/4/2015,70
1/5/2015,55
1/6/2015,78
1/7/2015,71
1/8/2015,49
1/9/2015,62
1/10/2015,38
1/11/2015,50
1/12/2015,27
1/13/2015,63
1/14/2015,54
1/15/2015,37
1/16/2015,56
1/17/2015,44
1/18/2015,31
1/19/2015,32
1/20/2015,53
1/21/2015,59
1/22/2015,21
1/23/2015,33
1/24/2015,25
1/25/2015,56
1/26/2015,58
1/27/2015,47
1/28/2015,47
1/29/2015,32
1/30/2015,55
1/31/2015,37
2/1/2015,42
2/2/2015,37
2/3/2015,32
2/4/2015,32
2/5/2015,32
2/6/2015,39
2/7/2015,44
2/8/2015,37
2/9/2015,37
2/10/2015,37
2/11/2015,58
2/12/2015,59
2/13/2015,45
2/14/2015,51
2/15/2015,45
2/16/2015,28
2/17/2015,49
2/18/2015,32
2/19/2015,44
2/20/2015,73
2/21/2015,94
2/22/2015,43
2/23/2015,53
2/24/2015,21
2/25/2015,53
2/26/2015,42
2/27/2015,54
2/28/2015,19
3/1/2015,12
3/2/2015,36
3/3/2015,42
3/4/2015,37
3/5/2015,63
3/6/2015,33
3/7/2015,25
3/8/2015,37
3/9/2015,41
3/10/2015,41
3/11/2015,26
3/12/2015,37
3/13/2015,27
3/14/2015,55
3/15/2015,55
3/16/2015,63
3/17/2015,42
3/18/2015,58
3/19/2015,37
3/20/2015,65
3/21/2015,43
3/22/2015,60
3/23/2015,42
3/24/2015,42
3/25/2015,62
3/26/2015,24
3/27/2015,44
3/28/2015,13
3/29/2015,84
3/30/2015,54
3/31/2015,37
4/1/2015,33
4/2/2015,28
4/3/2015,60
4/4/2015,39
4/5/2015,59
4/6/2015,56
4/7/2015,32
4/8/2015,48
4/9/2015,54
4/10/2015,67
4/11/2015,19
4/12/2015,38
4/13/2015,42
4/14/2015,53
4/15/2015,52
4/16/2015,33
4/17/2015,39
4/18/2015,38
4/19/2015,50
4/20/2015,37
4/21/2015,21
4/22/2015,31
4/23/2015,75
4/24/2015,49
4/25/2015,44
4/26/2015,38
4/27/2015,26
4/28/2015,31
4/29/2015,85
4/30/2015,33
5/1/2015,48
5/2/2015,50
5/3/2015,6
5/4/2015,42
5/5/2015,32
5/6/2015,100
5/7/2015,37
5/8/2015,28
5/9/2015,57
5/10/2015,45
5/11/2015,31
5/12/2015,47
5/13/2015,73
5/14/2015,43
5/15/2015,39
5/16/2015,31
5/17/2015,31
5/18/2015,53
5/19/2015,89
5/20/2015,31
5/21/2015,75
5/22/2015,61
5/23/2015,44
5/24/2015,38
5/25/2015,60
5/26/2015,57
5/27/2015,41
5/28/2015,42
5/29/2015,50
5/30/2015,57
5/31/2015,81
6/1/2015,52
6/2/2015,79
6/3/2015,42
6/4/2015,33
6/5/2015,45
6/6/2015,63
6/7/2015,45
6/8/2015,36
6/9/2015,47
6/10/2015,68
6/11/2015,48
6/12/2015,45
6/13/2015,57
6/14/2015,25
6/15/2015,66
6/16/2015,47
6/17/2015,47
6/18/2015,74
6/19/2015,39
6/20/2015,58
6/21/2015,57
6/22/2015,41
6/23/2015,31
6/24/2015,16
6/25/2015,37
6/26/2015,28
6/27/2015,50
6/28/2015,45
6/29/2015,47
6/30/2015,37
7/1/2015,32
7/2/2015,54
7/3/2015,17
7/4/2015,39
7/5/2015,58
7/6/2015,36
7/7/2015,21
7/8/2015,37
7/9/2015,27
7/10/2015,44
7/11/2015,57
7/12/2015,32
7/13/2015,36
7/14/2015,26
7/15/2015,27
7/16/2015,43
7/17/2015,34
7/18/2015,68
7/19/2015,20
7/20/2015,33
7/21/2015,48
7/22/2015,32
7/23/2015,48
7/24/2015,44
7/25/2015,38
7/26/2015,38
7/27/2015,47
7/28/2015,47
7/29/2015,21
7/30/2015,32
7/31/2015,44
8/1/2015,12.5752988
8/2/2015,19.34661355
8/3/2015,52.23585657
8/4/2015,47.39920319
8/5/2015,21.2812749
8/6/2015,58.03984064
8/7/2015,56.10517928
8/8/2015,76.41912351
8/9/2015,69.64780876
8/10/2015,41.59521912
8/11/2015,73.51713147
8/12/2015,42.5625498
8/13/2015,31.92191235
8/14/2015,49.33386454
8/15/2015,25.15059761
8/16/2015,55.13784861
8/17/2015,20.31394422
8/18/2015,20.31394422
8/19/2015,36.75856574
8/20/2015,26.11792829
8/21/2015,27.08525896
8/22/2015,49.33386454
8/23/2015,36.75856574
8/24/2015,25.15059761
8/25/2015,35.79123506
8/26/2015,10.64063745
8/27/2015,61.90916335
8/28/2015,10.64063745
8/29/2015,30.95458167
8/30/2015,55.13784861
8/31/2015,34.82390438
9/1/2015,34.82390438
9/2/2015,25.15059761
9/3/2015,30.95458167
9/4/2015,31.92191235
9/5/2015,41.59521912
9/6/2015,65.77848606
9/7/2015,30.95458167
9/8/2015,14.50996016
9/9/2015,34.82390438
9/10/2015,34.82390438
9/11/2015,36.75856574
9/12/2015,47.39920319
9/13/2015,45.46454183
9/14/2015,39.66055777
9/15/2015,59.97450199
9/16/2015,79.32111554
9/17/2015,24.18326693
9/18/2015,42.5625498
9/19/2015,29.01992032
9/20/2015,29.01992032
9/21/2015,59.00717131
9/22/2015,59.00717131
9/23/2015,34.82390438
9/24/2015,30.95458167
9/25/2015,37.72589641
9/26/2015,41.59521912
9/27/2015,40.62788845
9/28/2015,58.03984064
9/29/2015,54.17051793
9/30/2015,39.66055777
10/1/2015,63.8438247
10/2/2015,20.31394422
10/3/2015,17.41195219
10/4/2015,17.41195219
10/5/2015,39.66055777
10/6/2015,44.49721116
10/7/2015,24.18326693
10/8/2015,63.8438247
10/9/2015,30.95458167
10/10/2015,40.62788845
10/11/2015,29.01992032
10/12/2015,56.10517928
10/13/2015,38.69322709
10/14/2015,29.01992032
10/15/2015,54.17051793
10/16/2015,65.77848606
10/17/2015,34.82390438
10/18/2015,17.41195219
10/19/2015,38.69322709
10/20/2015,58.03984064
10/21/2015,43.52988048
10/22/2015,55.13784861
10/23/2015,30.95458167
10/24/2015,29.01992032
10/25/2015,22.24860558
10/26/2015,61.90916335
10/27/2015,58.03984064
10/28/2015,59.00717131
10/29/2015,24.18326693
