Category: All categories

Day,xrp: (Worldwide)
2021-06-01,67
2021-06-02,59
2021-06-03,56
2021-06-04,55
2021-06-05,47
2021-06-06,44
2021-06-07,46
2021-06-08,49
2021-06-09,45
2021-06-10,43
2021-06-11,38
2021-06-12,36
2021-06-13,35
2021-06-14,43
2021-06-15,38
2021-06-16,34
2021-06-17,31
2021-06-18,29
2021-06-19,30
2021-06-20,34
2021-06-21,42
2021-06-22,52
2021-06-23,36
2021-06-24,38
2021-06-25,31
2021-06-26,30
2021-06-27,30
2021-06-28,31
2021-06-29,36
2021-06-30,31
2021-07-01,28
2021-07-02,25
2021-07-03,26
2021-07-04,30
2021-07-05,28
2021-07-06,26
2021-07-07,27
2021-07-08,25
2021-07-09,25
2021-07-10,25
2021-07-11,22
2021-07-12,28
2021-07-13,26
2021-07-14,25
2021-07-15,27
2021-07-16,29
2021-07-17,23
2021-07-18,24
2021-07-19,28
2021-07-20,28
2021-07-21,28
2021-07-22,27
2021-07-23,24
2021-07-24,24
2021-07-25,25
2021-07-26,39
2021-07-27,31
2021-07-28,58
2021-07-29,40
2021-07-30,41
2021-07-31,36
2021-08-01,34
2021-08-02,31
2021-08-03,27
2021-08-04,27
2021-08-05,26
2021-08-06,30
2021-08-07,41
2021-08-08,40
2021-08-09,38
2021-08-10,39
2021-08-11,82
2021-08-12,61
2021-08-13,56
2021-08-14,96
2021-08-15,100
2021-08-16,77
2021-08-17,55
2021-08-18,48
2021-08-19,52
2021-08-20,57
2021-08-21,48
2021-08-22,44
2021-08-23,58
2021-08-24,55
2021-08-25,43
2021-08-26,42
2021-08-27,43
2021-08-28,40
2021-08-29,39
2021-08-30,38
2021-08-31,58
2021-09-01,50
2021-09-02,54
2021-09-03,51
2021-09-04,43
2021-09-05,47
2021-09-06,71
2021-09-07,67
2021-09-08,51
2021-09-09,48
2021-09-10,47
2021-09-11,38
2021-09-12,37
2021-09-13,39
2021-09-14,36
2021-09-15,37
2021-09-16,38
2021-09-17,33
2021-09-18,30
2021-09-19,29
2021-09-20,41
2021-09-21,36
2021-09-22,38
2021-09-23,32
2021-09-24,32
2021-09-25,29
2021-09-26,29
2021-09-27,31
2021-09-28,29
2021-09-29,31
2021-09-30,30
2021-10-01,39
2021-10-02,34
2021-10-03,34
2021-10-04,31
2021-10-05,39
2021-10-06,45
2021-10-07,39
2021-10-08,36
2021-10-09,54
2021-10-10,52
2021-10-11,45
2021-10-12,35
2021-10-13,33
2021-10-14,36
2021-10-15,43
2021-10-16,39
2021-10-17,37
2021-10-18,38
2021-10-19,40
2021-10-20,44
2021-10-21,43
2021-10-22,35
2021-10-23,31
2021-10-24,32
2021-10-25,38
2021-10-26,44
2021-10-27,42
2021-10-28,44
2021-10-29,42
2021-10-30,43
2021-10-31,46
2021-11-01,43
2021-11-02,51
2021-11-03,71
2021-11-04,60
2021-11-05,46
2021-11-06,43
2021-11-07,53
2021-11-08,71
2021-11-09,59
2021-11-10,63
2021-11-11,46
2021-11-12,45
2021-11-13,43
2021-11-14,42
2021-11-15,46
2021-11-16,43
2021-11-17,38
2021-11-18,39
2021-11-19,34
2021-11-20,35
2021-11-21,34
2021-11-22,32
2021-11-23,38
2021-11-24,37
2021-11-25,31
2021-11-26,37
2021-11-27,33
2021-11-28,35
2021-11-29,37
2021-11-30,38
2021-12-01,33
2021-12-02,37
2021-12-03,32
2021-12-04,49
2021-12-05,33
2021-12-06,38
2021-12-07,39
2021-12-08,38
2021-12-09,42
2021-12-10,34
2021-12-11,30
2021-12-12,32
2021-12-13,32
2021-12-14,62
2021-12-15,56
2021-12-16,34
2021-12-17,30
2021-12-18,28
2021-12-19,30
2021-12-20,43
2021-12-21,43
2021-12-22,50
2021-12-23,50
2021-12-24,53
2021-12-25,40
2021-12-26,36
2021-12-27,35
2021-12-28,33
2021-12-29,30
2021-12-30,32
2021-12-31,28
2022-01-01,30
2022-01-02,34
2022-01-03,32
2022-01-04,32
2022-01-05,31
2022-01-06,34
2022-01-07,30
2022-01-08,31
2022-01-09,27
2022-01-10,29
2022-01-11,29
2022-01-12,31
2022-01-13,31
2022-01-14,28
2022-01-15,27
2022-01-16,26
2022-01-17,25
2022-01-18,24
2022-01-19,24
2022-01-20,26
2022-01-21,34
2022-01-22,36
2022-01-23,30
2022-01-24,32
2022-01-25,27
2022-01-26,30
2022-01-27,23
2022-01-28,23
2022-01-29,24
2022-01-30,25
2022-01-31,24
