Category: All categories

Day,xrp: (Worldwide)
2015-01-01,14
2015-01-02,49
2015-01-03,39
2015-01-04,70
2015-01-05,55
2015-01-06,78
2015-01-07,71
2015-01-08,49
2015-01-09,62
2015-01-10,38
2015-01-11,50
2015-01-12,27
2015-01-13,63
2015-01-14,54
2015-01-15,37
2015-01-16,56
2015-01-17,44
2015-01-18,31
2015-01-19,32
2015-01-20,53
2015-01-21,59
2015-01-22,21
2015-01-23,33
2015-01-24,25
2015-01-25,56
2015-01-26,58
2015-01-27,47
2015-01-28,47
2015-01-29,32
2015-01-30,55
2015-01-31,37
2015-02-01,42
2015-02-02,37
2015-02-03,32
2015-02-04,32
2015-02-05,32
2015-02-06,39
2015-02-07,44
2015-02-08,37
2015-02-09,37
2015-02-10,37
2015-02-11,58
2015-02-12,59
2015-02-13,45
2015-02-14,51
2015-02-15,45
2015-02-16,28
2015-02-17,49
2015-02-18,32
2015-02-19,44
2015-02-20,73
2015-02-21,94
2015-02-22,43
2015-02-23,53
2015-02-24,21
2015-02-25,53
2015-02-26,42
2015-02-27,54
2015-02-28,19
2015-03-01,12
2015-03-02,36
2015-03-03,42
2015-03-04,37
2015-03-05,63
2015-03-06,33
2015-03-07,25
2015-03-08,37
2015-03-09,41
2015-03-10,41
2015-03-11,26
2015-03-12,37
2015-03-13,27
2015-03-14,55
2015-03-15,55
2015-03-16,63
2015-03-17,42
2015-03-18,58
2015-03-19,37
2015-03-20,65
2015-03-21,43
2015-03-22,60
2015-03-23,42
2015-03-24,42
2015-03-25,62
2015-03-26,24
2015-03-27,44
2015-03-28,13
2015-03-29,84
2015-03-30,54
2015-03-31,37
2015-04-01,33
2015-04-02,28
2015-04-03,60
2015-04-04,39
2015-04-05,59
2015-04-06,56
2015-04-07,32
2015-04-08,48
2015-04-09,54
2015-04-10,67
2015-04-11,19
2015-04-12,38
2015-04-13,42
2015-04-14,53
2015-04-15,52
2015-04-16,33
2015-04-17,39
2015-04-18,38
2015-04-19,50
2015-04-20,37
2015-04-21,21
2015-04-22,31
2015-04-23,75
2015-04-24,49
2015-04-25,44
2015-04-26,38
2015-04-27,26
2015-04-28,31
2015-04-29,85
2015-04-30,33
2015-05-01,48
2015-05-02,50
2015-05-03,6
2015-05-04,42
2015-05-05,32
2015-05-06,100
2015-05-07,37
2015-05-08,28
2015-05-09,57
2015-05-10,45
2015-05-11,31
2015-05-12,47
2015-05-13,73
2015-05-14,43
2015-05-15,39
2015-05-16,31
2015-05-17,31
2015-05-18,53
2015-05-19,89
2015-05-20,31
2015-05-21,75
2015-05-22,61
2015-05-23,44
2015-05-24,38
2015-05-25,60
2015-05-26,57
2015-05-27,41
2015-05-28,42
2015-05-29,50
2015-05-30,57
2015-05-31,81
2015-06-01,52
2015-06-02,79
2015-06-03,42
2015-06-04,33
2015-06-05,45
2015-06-06,63
2015-06-07,45
2015-06-08,36
2015-06-09,47
2015-06-10,68
2015-06-11,48
2015-06-12,45
2015-06-13,57
2015-06-14,25
2015-06-15,66
2015-06-16,47
2015-06-17,47
2015-06-18,74
2015-06-19,39
2015-06-20,58
2015-06-21,57
2015-06-22,41
2015-06-23,31
2015-06-24,16
2015-06-25,37
2015-06-26,28
2015-06-27,50
2015-06-28,45
2015-06-29,47
2015-06-30,37
2015-07-01,32
2015-07-02,54
2015-07-03,17
2015-07-04,39
2015-07-05,58
2015-07-06,36
2015-07-07,21
2015-07-08,37
2015-07-09,27
2015-07-10,44
2015-07-11,57
2015-07-12,32
2015-07-13,36
2015-07-14,26
2015-07-15,27
2015-07-16,43
2015-07-17,34
2015-07-18,68
2015-07-19,20
2015-07-20,33
2015-07-21,48
2015-07-22,32
2015-07-23,48
2015-07-24,44
2015-07-25,38
2015-07-26,38
2015-07-27,47
2015-07-28,47
2015-07-29,21
2015-07-30,32
2015-07-31,44
2015-08-01,13
2015-08-02,19
2015-08-03,53
2015-08-04,48
2015-08-05,22
2015-08-06,58
2015-08-07,56
2015-08-08,76
2015-08-09,69
2015-08-10,42
2015-08-11,73
2015-08-12,43
2015-08-13,32
2015-08-14,49
2015-08-15,25
2015-08-16,55
2015-08-17,21
2015-08-18,20
2015-08-19,37
2015-08-20,26
2015-08-21,27
2015-08-22,49
2015-08-23,36
2015-08-24,25
2015-08-25,36
2015-08-26,10
2015-08-27,62
2015-08-28,11
2015-08-29,31
2015-08-30,55
2015-08-31,35
