DATE,RVXCLS
2004-01-02,23.04
2004-01-05,21.04
2004-01-06,19.42
2004-01-07,17.73
2004-01-08,20.12
2004-01-09,21.53
2004-01-12,21.09
2004-01-13,21.82
2004-01-14,21.73
2004-01-15,21.05
2004-01-16,19.60
2004-01-19,.
2004-01-20,21.29
2004-01-21,21.12
2004-01-22,21.30
2004-01-23,20.22
2004-01-26,20.07
2004-01-27,21.46
2004-01-28,23.24
2004-01-29,23.52
2004-01-30,22.50
2004-02-02,23.05
2004-02-03,23.54
2004-02-04,24.77
2004-02-05,24.51
2004-02-06,22.70
2004-02-09,23.77
2004-02-10,22.93
2004-02-11,22.77
2004-02-12,23.16
2004-02-13,23.92
2004-02-16,.
2004-02-17,24.20
2004-02-18,24.57
2004-02-19,24.34
2004-02-20,24.30
2004-02-23,25.07
2004-02-24,24.34
2004-02-25,23.41
2004-02-26,22.57
2004-02-27,21.87
2004-03-01,21.89
2004-03-02,22.34
2004-03-03,22.43
2004-03-04,21.75
2004-03-05,21.34
2004-03-08,22.63
2004-03-09,23.30
2004-03-10,24.74
2004-03-11,26.11
2004-03-12,24.48
2004-03-15,27.57
2004-03-16,26.94
2004-03-17,25.62
2004-03-18,25.88
2004-03-19,25.78
2004-03-22,26.05
2004-03-23,24.94
2004-03-24,26.44
2004-03-25,25.03
2004-03-26,24.26
2004-03-29,23.62
2004-03-30,23.46
2004-03-31,23.65
2004-04-01,23.59
2004-04-02,21.93
2004-04-05,22.13
2004-04-06,22.55
2004-04-07,22.24
2004-04-08,22.65
2004-04-09,.
2004-04-12,22.66
2004-04-13,24.44
2004-04-14,24.29
2004-04-15,24.12
2004-04-16,23.59
2004-04-19,22.66
2004-04-20,23.57
2004-04-21,22.74
2004-04-22,21.57
2004-04-23,21.51
2004-04-26,22.46
2004-04-27,22.45
2004-04-28,23.84
2004-04-29,24.83
2004-04-30,25.41
2004-05-03,25.43
2004-05-04,24.57
2004-05-05,24.13
2004-05-06,25.69
2004-05-07,26.87
2004-05-10,28.81
2004-05-11,28.33
2004-05-12,28.95
2004-05-13,29.81
2004-05-14,29.81
2004-05-17,32.61
2004-05-18,30.20
2004-05-19,30.50
2004-05-20,29.87
2004-05-21,28.43
2004-05-24,26.49
2004-05-25,24.42
2004-05-26,23.86
2004-05-27,23.49
2004-05-28,23.49
2004-05-31,.
2004-06-01,24.49
2004-06-02,24.66
2004-06-03,25.56
2004-06-04,24.87
2004-06-07,23.96
2004-06-08,23.50
2004-06-09,24.12
2004-06-10,23.77
2004-06-11,.
2004-06-14,25.55
2004-06-15,24.32
2004-06-16,23.89
2004-06-17,24.07
2004-06-18,23.70
2004-06-21,23.37
2004-06-22,22.09
2004-06-23,21.51
2004-06-24,21.62
2004-06-25,21.31
2004-06-28,22.14
2004-06-29,21.69
2004-06-30,21.27
2004-07-01,21.67
2004-07-02,21.45
2004-07-05,.
2004-07-06,23.30
2004-07-07,23.11
2004-07-08,23.56
2004-07-09,22.70
2004-07-12,22.60
2004-07-13,22.29
2004-07-14,22.39
2004-07-15,22.28
2004-07-16,22.17
2004-07-19,22.18
2004-07-20,21.39
2004-07-21,23.15
2004-07-22,23.64
2004-07-23,23.62
2004-07-26,24.70
2004-07-27,23.85
2004-07-28,23.91
2004-07-29,23.08
2004-07-30,23.00
2004-08-02,23.46
2004-08-03,23.62
2004-08-04,23.75
2004-08-05,24.82
2004-08-06,26.00
2004-08-09,26.23
2004-08-10,24.83
2004-08-11,25.19
2004-08-12,26.08
2004-08-13,25.91
2004-08-16,26.10
2004-08-17,25.40
2004-08-18,24.08
2004-08-19,25.03
2004-08-20,23.88
2004-08-23,23.99
